date,agend_item_nr,party,speaker,speech_nr,sent_nr,sentence_id,uid,split_
2013-09-05,13,LibDem,Jo Swinson,12928,13,012928-13,b8070002e3e808ab9da831385da58597,smarie
2013-10-28,8,LibDem,Norman Baker,15170,4,015170-04,7ce426a0dadc8adcf61b8bafc82c5c4a,sjasmin
2013-02-07,2,LibDem,Vincent Cable,2840,6,002840-06,864c3fb9b11f0cc8a2dd56d6feafdfbc,smarie
2013-06-10,14,LibDem,Tessa Munt,8851,3,008851-03,04d1719df9f106759d23e79570d71ee6,sjasmin
2013-09-11,1,LibDem,Michael Moore,13269,3,013269-03,77faac967f8d4b896fdd8b5dfb4365ff,smarie
2013-05-20,5,LibDem,Steve Webb,7836,1,007836-01,737b08b9c5efe754f7745130a141f29d,sjasmin
2013-05-16,12,LibDem,David Heath,7767,2,007767-02,80f273dfc39f8484ca5fdd89d91189b8,smarie
2013-03-14,15,LibDem,Edward Davey,5340,3,005340-03,58a1656d7d37c2c44c8696953e0ed598,sjasmin
2013-10-09,11,LibDem,Michael Crockart,13792,1,013792-01,a331736353365efb65110e0643a30348,smarie
2013-01-15,15,LibDem,Norman Lamb,892,3,000892-03,c2d6117e5d3ead626343ee7871a953fb,sjasmin
2013-11-06,3,LibDem,Alistair Carmichael,16039,1,016039-01,077eb40d66bf4af26900bc7f62da7725,smarie
2013-02-11,8,LibDem,David Ward,3055,1,003055-01,f1f6831cb8ec8da0ba62b6ab61b85b88,sjasmin
2013-01-08,6,LibDem,Annette L Brooke,221,1,000221-01,8370f26f937c0583b7ff71f31550eb9a,smarie
2013-07-16,1,LibDem,John Pugh,11959,1,011959-01,39fd11f6ef0941dcedd739c8466c6b21,sjasmin
2013-10-28,8,LibDem,Norman Baker,15168,2,015168-02,d7e2da4d1f1602fe5cfe6a085bfb6967,smarie
2013-05-16,12,LibDem,David Heath,7761,3,007761-03,2382d380d6b2dfcdec4332f52d0f4474,sjasmin
2013-06-03,8,LibDem,Don Foster,8176,2,008176-02,6685b4f88e68c2ee8a8e1a50720ab2d7,smarie
2013-06-26,5,LibDem,Michael Moore,10229,1,010229-01,bf8d5a678d6dc26950fd7e09c11e5d95,sjasmin
2013-07-08,10,LibDem,Stephen Lloyd,11230,3,011230-03,2790baee6d1cbd73df1fd1b84f5de7a7,smarie
2013-07-11,24,LibDem,Tessa Munt,11761,10,011761-10,fba9178b46e36c24ca59332d0a0a5ba4,sjasmin
2013-07-11,24,LibDem,Tessa Munt,11761,3,011761-03,22eb729dfd62c78bc88166e99616eb4a,smarie
2013-09-05,13,LibDem,Jo Swinson,12928,8,012928-08,9c011cc7eec3f520ae37001196a32afe,sjasmin
2013-03-21,17,LibDem,Bob Russell,5941,1,005941-01,985c842369e2254c845baff289043eab,smarie
2013-07-04,6,LibDem,Andrew Stunell,11032,3,011032-03,42f1df90bf9d66b98f07e05485314464,sjasmin
2013-01-22,6,LibDem,Duncan Hames,1426,3,001426-03,123aad2adb3d394575a74aec48f892ca,smarie
2013-12-04,7,LibDem,Nick Clegg,18178,4,018178-04,620fd67de60c252da297e893de2de834,sjasmin
2013-07-11,14,SNP,Michael Weir,11722,3,011722-03,31372391297448d9f613ccbf2e4f460d,both
2013-12-18,1,SNP,Angus Robertson,19174,2,019174-02,a3b07add502299961986ee547ebb3253,both
2013-01-09,1,SNP,Angus Robertson,293,2,000293-02,b37b7aea67d7234511e55be95f8d0fb4,both
2013-02-12,13,SNP,Angus MacNeil,3252,2,003252-02,1b8724397bb0db7de60e076b0db5ddd1,both
2013-02-13,4,SNP,Angus Robertson,3299,1,003299-01,2680733443a2b3f68154af4a17044f62,both
2013-12-18,6,SNP,Michael Weir,19220,1,019220-01,59ed86aae0e1df0119c251d84cced230,both
2013-11-20,7,SNP,Angus MacNeil,16991,1,016991-01,08a4f892079e1fb787cec9bbd42071e1,both
2013-02-14,26,SNP,Eilidh Whiteford,3603,15,003603-15,a9325764990f5f995764deece4b3d654,both
2013-01-07,4,SNP,Pete Wishart,37,1,000037-01,cc841dd67f63a8229e033b01d52791a1,both
2013-09-11,5,SNP,Eilidh Whiteford,13317,2,013317-02,a843fc226417dbbafaf4f091869b19b3,both
2013-02-13,4,SNP,Angus Robertson,3299,2,003299-02,3ed2732e223278442732f807e70f7842,both
2013-12-18,1,SNP,Angus Robertson,19176,3,019176-03,c1b329352bf95c2f8bfe6cbcfccb9efb,both
2013-12-18,6,SNP,Michael Weir,19222,4,019222-04,1e451e713c8457f2397301c2e9c20059,both
2013-12-18,1,SNP,Angus Robertson,19176,4,019176-04,29598213365dd9999ee87a6dc6095d7b,both
2013-02-13,5,SNP,Angus MacNeil,3305,1,003305-01,2a4d25d3b49ffbe93961bf4ff72ae96d,both
2013-11-06,3,SNP,Angus MacNeil,16034,4,016034-04,3aaf04eb7075345211eccc5e6da340a1,smarie
2013-01-14,15,SNP,Angus Robertson,737,1,000737-01,fbb7686d0dc505d30180070c26c4e4be,sjasmin
2013-04-24,5,SNP,Angus Robertson,7096,1,007096-01,db0e2d191b06da8425dad1c11fd37c8a,smarie
2013-04-25,5,SNP,Angus MacNeil,7233,3,007233-03,bee051890accb19e8b90116c7e4ea01a,sjasmin
2013-10-14,7,SNP,Eilidh Whiteford,14020,2,014020-02,b2e40259f0d09e990b770b4fe559fc4b,smarie
2013-01-14,15,SNP,Angus Robertson,737,3,000737-03,a9ff0f8b3426dd7aee32fa8efd42a871,sjasmin
2013-09-10,8,SNP,Stewart Hosie,13212,1,013212-01,d6acd06a9d1a4388c4c01ae40825f5da,smarie
2013-02-14,26,SNP,Eilidh Whiteford,3603,36,003603-36,152f5e4e234384a6006044c47bc50504,sjasmin
2013-04-24,9,SNP,Angus Robertson,7146,2,007146-02,f2981052e1e3e43035cec2b9333abf42,smarie
2013-10-31,7,SNP,Pete Wishart,15596,1,015596-01,ba4d68a5838990de7c8fac6a15b81f38,sjasmin
2013-12-18,5,SNP,Eilidh Whiteford,19218,2,019218-02,806c7ca0627db699855121f2ad342a31,smarie
2013-11-06,8,SNP,Angus Robertson,16097,2,016097-02,aa298bb18ab7abce9e1ffcabaf0c6526,sjasmin
2013-12-18,3,SNP,Angus MacNeil,19198,1,019198-01,80e158d4f20d4389fb491e1525c98857,smarie
2013-02-13,6,SNP,Pete Wishart,3317,4,003317-04,e897ef3f40d296deba67633d049362f2,sjasmin
2013-02-13,4,SNP,Angus Robertson,3297,3,003297-03,64a177e6d49aeedbf6e5068b3dffb3ca,smarie
2013-02-14,26,SNP,Eilidh Whiteford,3603,8,003603-08,6dedc5be23b468199ceeb1242c0913e0,sjasmin
2013-12-18,5,SNP,Eilidh Whiteford,19218,1,019218-01,405ddabede43df3633f77375a2a8111e,smarie
2013-01-24,11,SNP,Eilidh Whiteford,1730,1,001730-01,a41d9fba705a376bcb71026ccb489737,sjasmin
2013-02-13,6,SNP,Pete Wishart,3315,1,003315-01,c4999dcc277d98d0098eddbf75c9e5c8,smarie
2013-11-06,5,SNP,Michael Weir,16066,1,016066-01,1ecb29df18096364a5e23ed02d975c7e,sjasmin
2013-04-24,2,SNP,Angus MacNeil,7062,1,007062-01,7fbcd397ccc265e3a04c96170f57b517,smarie
2013-12-18,6,SNP,Michael Weir,19222,2,019222-02,7ecdcf3ce23064771f224dd1750169ec,sjasmin
2013-12-18,3,SNP,Angus MacNeil,19198,2,019198-02,accff83f1580167af1921113b0e92a28,smarie
2013-01-31,4,SNP,Michael Weir,2261,1,002261-01,64d563fbdef08ad054619addc05a3cef,sjasmin
2013-10-28,3,SNP,Pete Wishart,15127,2,015127-02,c8dee16ee16a8c9097dfec07703166f8,smarie
2013-11-06,1,SNP,Angus Robertson,16026,2,016026-02,732b2113f8477a4e946c7b63587c2a2b,sjasmin
2013-06-10,13,SNP,Pete Wishart,8813,2,008813-02,c4a1acf92b5397d708b28c1b4ae44bbe,smarie
2013-01-14,11,SNP,Angus Robertson,677,2,000677-02,5396b914f57994f7f5d784f21843761c,sjasmin
2013-01-28,1,SNP,Eilidh Whiteford,1776,1,001776-01,2014f65b272571897fab2cd584962973,smarie
2013-11-06,3,SNP,Angus MacNeil,16034,1,016034-01,8da23470c1e6690163fe9f31b75c92c9,sjasmin
2014-11-24,12,Con,Mark Francois,36873,3,036873-03,7ab193e2032c42df0ac273957034969d,both
2014-02-03,7,Con,Mark Francois,21807,1,021807-01,072278cf47ef124ddd07c98fed7dabcf,both
2014-01-07,5,Con,David Cameron,19716,3,019716-03,f42ca332747688c9719d893546db071a,both
2014-01-13,14,Con,Iain Duncan Smith,20163,2,020163-02,e250163c30b9f5b061e20e515a4e772b,both
2014-07-07,2,Con,James Brokenshire,31052,1,031052-01,e2a0b75741e17ba30f49a528c964bab6,both
2014-07-16,8,Con,Cheryl Gillan,31973,3,031973-03,edac6303e67007f4840264891fa9bee5,both
2014-01-13,5,Con,Mike Penning,20098,4,020098-04,ea74521139764784b079d55ce0662e8e,both
2014-01-06,1,Con,Michael Gove,19478,1,019478-01,ca1ce1cd76da2ee456b0d4b24c979b7c,both
2014-10-23,11,Con,Philip Hollobone,34643,1,034643-01,44967fb3d430fef767e62af0740c2855,both
2014-01-08,8,Con,David Cameron,19871,2,019871-02,98c601e8787d387bfc18c6582bee5b78,both
2014-02-04,3,Con,Julian Sturdy,21917,1,021917-01,addcefb4dab986452098305bbfec06ce,both
2014-10-30,15,Con,David Nuttall,35268,2,035268-02,bab7b97dfa760842300242b5320be420,both
2014-06-10,1,Con,Jeremy Hunt,28845,2,028845-02,b87250a00ed1332b8c1d5efd2654eec7,both
2014-06-18,7,Con,Justine Greening,29631,1,029631-01,773f5e18abb7f76434a47f3e4d69002b,both
2014-10-20,7,Con,Michael Fallon,34204,1,034204-01,1a2dbe9b2ea0c9e7d1f88a2eaa9cacfd,both
2014-11-24,13,Con,Bob Blackman,36892,2,036892-02,ed63b65327c14d61435493fbdbb1829f,smarie
2014-07-21,5,Con,Charlie Elphicke,32222,1,032222-01,943075e7c43ea93fa8fe7e14f404fb77,sjasmin
2014-10-15,6,Con,David Cameron,33915,2,033915-02,d53a04933c18fafd5189ffa73e774eaa,smarie
2014-11-24,13,Con,Anna Soubry,36905,1,036905-01,41495629f526fab67a240fe9b86ac22c,sjasmin
2014-10-15,6,Con,David Cameron,33902,4,033902-04,bac8984992c903f1c20e6f51cd9a1a50,smarie
