id,year1,year2,month,sourname,objdim,objid,oidclean
47,1964,"1964",10,1,"Health","the handicapped","the handicapped"
48,1964,"1964",10,1,"Geography","the South","the south"
49,1964,"1964",10,1,"Gender","men","men"
50,1964,"1964",10,1,,"teachers","teachers"
51,1964,"1964",10,1,,"the nation","the nation"
52,1964,"1964",10,1,"Geography","Scotland","scotland"
53,1964,"1964",10,1,,"our crowded country","our crowded country"
54,1964,"1964",10,1,,"every (man, woman and) child in the country","every man, woman and child in the country"
55,1964,"1964",10,1,,"farmers'","farmers'"
56,1964,"1964",10,1,"Economic class","workers (who fall ill)","workers who fall ill"
57,1964,"1964",10,1,"Gender","widows (with children)","widows with children"
58,1964,"1964",10,1,"Economic class","more than 50,000 students (from developing countries)","more than 50,000 students from developing countries"
59,1964,"1964",10,1,,"trade unions","trade unions"
60,1964,"1964",10,1,"Gender","men","men"
61,1964,"1964",10,1,"Gender","widows (at work)","widows at work"
62,1964,"1964",10,1,,"the public","the public"
63,1964,"1964",10,1,"Economic class","those leaving school to start work at once","those leaving school to start work at once"
64,1964,"1964",10,1,,"Britain","britain"
65,1964,"1964",10,1,"Gender","women","women"
66,1964,"1964",10,1,,"this country","this country"
67,1964,"1964",10,1,"Other","the victims of violent crime","the victims of violent crime"
68,1964,"1964",10,1,"Age/generation","young people","young people"
69,1964,"1964",10,1,"Age/generation","young people","young people"
70,1964,"1964",10,1,"Economic class","those receiving such benefits","those receiving such benefits"
71,1964,"1964",10,1,"Economic class","the (older) pensioners","the older pensioners"
72,1964,"1964",10,1,,"Britain's","britain's"
73,1964,"1964",10,1,"Economic class","100,000 extra students","100,000 extra students"
74,1964,"1964",10,1,,"the individual","the individual"
75,1964,"1964",10,1,,"Britain","britain"
76,1964,"1964",10,1,"Other","families","families"
77,1964,"1964",10,1,"Geography","towns and cities (where most remaining slums are concentrated)","towns and cities where most remaining slums are concentrated"
78,1964,"1964",10,1,"Economic class","management","management"
79,1964,"1964",10,1,,"the individual","the individual"
80,1964,"1964",10,1,"Economic class","(widows) at work","widows at work"
81,1964,"1964",10,1,"Other","offenders","offenders"
82,1964,"1964",10,1,"Other","viewers and listeners","viewers and listeners"
83,1964,"1964",10,1,"Age/generation","the elderly","the elderly"
84,1964,"1964",10,1,"Gender","qualified married women","qualified married women"
85,1964,"1964",10,1,"Geography","cities and towns","cities and towns"
86,1964,"1964",10,1,"Geography","Northern Ireland's","northern ireland's"
87,1964,"1964",10,1,"Gender","widows","widows"
88,1964,"1964",10,1,"Age/generation","(industrial workers) under 18","industrial workers under 18"
89,1964,"1964",10,1,,"the nation's","the nation's"
90,1964,"1964",10,1,,"Britain's","britain's"
91,1964,"1964",10,1,,"country's","country's"
92,1964,"1964",10,1,"Gender","every man, (woman and child) in the country","every man, woman and child in the country"
93,1964,"1964",10,1,"Age/generation","young people","young people"
94,1964,"1964",10,1,"Other","ratepayer","ratepayer"
95,1964,"1964",10,1,,"a person","a person"
96,1964,"1964",10,1,,"Britain's","britain's"
97,1964,"1964",10,1,,"teachers","teachers"
98,1964,"1964",10,1,"Age/generation","the old","the old"
99,1964,"1964",10,1,"Economic class","private woodland owners","private woodland owners"
100,1964,"1964",10,1,"Economic class","landlords","landlords"
101,1964,"1964",10,1,"Health","patients","patients"
102,1964,"1964",10,1,,"new teachers","new teachers"
103,1964,"1964",10,1,,"the British people","the british people"
104,1964,"1964",10,1,"Gender","war widows","war widows"
105,1964,"1964",10,1,,"employers' associations","employers' associations"
106,1964,"1964",10,1,"Other","the consumer","the consumer"
107,1964,"1964",10,1,"Gender","housewives","housewives"
108,1964,"1964",10,1,,"the public","the public"
109,1964,"1964",10,1,,"Britain","britain"
110,1964,"1964",10,1,,"contemporary artists","contemporary artists"
111,1964,"1964",10,1,"Gender","women","women"
112,1964,"1964",10,1,,"those disabled in the service of their country","those disabled in the service of their country"
113,1964,"1964",10,1,,"housing societies","housing societies"
114,1964,"1964",10,1,"Geography","other parts of the countryside","other parts of the countryside"
115,1964,"1964",10,1,"Geography","London","london"
116,1964,"1964",10,1,"Gender","widows","widows"
117,1964,"1964",10,1,"Age/generation","old people living at home","old people living at home"
118,1964,"1964",10,1,"Health","those disabled (in the service of their country)","those disabled in the service of their country"
119,1964,"1964",10,1,"Geography","towns","towns"
120,1964,"1964",10,1,,"the family doctor","the family doctor"
121,1964,"1964",10,1,"Geography","each region","each region"
122,1964,"1964",10,1,"Health","the sick","the sick"
123,1964,"1964",10,1,,"the child","the child"
124,1964,"1964",10,1,,"Britain","britain"
125,1964,"1964",10,1,"Age/generation","the young","the young"
126,1964,"1964",10,1,"Economic class","those who cannot afford them","those who cannot afford them"
127,1964,"1964",10,1,"Other","ratepayer","ratepayer"
128,1964,"1964",10,1,"Other","ratepayer","ratepayer"
129,1964,"1964",10,1,"Geography","the countryside","the countryside"
130,1964,"1964",10,1,,"this country","this country"
131,1964,"1964",10,1,,"social workers","social workers"
132,1964,"1964",10,1,"Economic class","redundant workers","redundant workers"
133,1964,"1964",10,1,"Economic class","(young people) deprived of normal home life","young people deprived of normal home life"
134,1964,"1964",10,1,"Geography","built-up areas","built-up areas"
135,1964,"1964",10,1,"Gender","men","men"
136,1964,"1964",10,1,,"health visitors","health visitors"
137,1964,"1964",10,1,"Other","taxpayer","taxpayer"
138,1964,"1964",10,1,"Geography","industrial regions","industrial regions"
139,1964,"1964",10,1,"Geography","central Scotland","central scotland"
140,1964,"1964",10,1,"Geography","areas where expansion can bring social and employment benefits [for forestry]","areas where expansion can bring social and employment benefits for forestry"
141,1964,"1964",10,1,"Economic class","shipowners","shipowners"
142,1964,"1964",10,1,"Economic class","shop-workers","shop-workers"
143,1964,"1964",10,1,,"the British people","the british people"
144,1964,"1964",10,1,"Other","taxpayer","taxpayer"
145,1964,"1964",10,1,"Economic class","(towns and cities) where most remaining slums are concentrated","towns and cities where most remaining slums are concentrated"
146,1964,"1964",10,1,"Geography","major cities","major cities"
147,1964,"1964",10,1,"Other","shoppers","shoppers"
148,1964,"1964",10,1,"Health","those not needing hospital care","those not needing hospital care"
149,1964,"1964",10,1,"Gender","every mother","every mother"
150,1964,"1964",10,1,"Other","taxpayers","taxpayers"
151,1964,"1964",10,1,"Geography","rural areas","rural areas"
152,1964,"1964",10,1,"Geography","Wales","wales"
153,1964,"1964",10,1,,"the healing professions","the healing professions"
154,1964,"1964",10,1,,"trade unions","trade unions"
155,1964,"1964",10,1,"Geography","Wales","wales"
156,1964,"1964",10,1,,"unions","unions"
157,1964,"1964",10,1,"Age/generation","the young","the young"
158,1964,"1964",10,1,"Other","those who suffer from this form of hooliganism","those who suffer from this form of hooliganism"
159,1964,"1964",10,1,"Health","the physically and mentally handicapped","the physically and mentally handicapped"
160,1964,"1964",10,1,,"doctors","doctors"
161,1964,"1964",10,1,,"our country","our country"
162,1964,"1964",10,1,"Gender","some 19,000 British (men and) women","some 19,000 british men and women"
163,1964,"1964",10,1,"Economic class","retired members (of the armed forces)","retired members of the armed forces"
164,1964,"1964",10,1,,"individuals","individuals"
165,1964,"1964",10,1,"Age/generation","(those who work) after retirement age","those who work after retirement age"
166,1964,"1964",10,1,"Other","offenders","offenders"
167,1964,"1964",10,1,"Gender","some 19,000 British men (and women)","some 19,000 british men and women"
168,1964,"1964",10,1,"Other","those householders (living on small fixed incomes)","those householders living on small fixed incomes"
169,1964,"1964",10,1,"Age/generation","the elderly","the elderly"
170,1964,"1964",10,1,,"growers [farmers]","growers farmers"
171,1964,"1964",10,1,,"Britain's","britain's"
172,1964,"1964",10,1,"Geography","cities and towns","cities and towns"
173,1964,"1964",10,1,"Geography","new and expanded towns","new and expanded towns"
174,1964,"1964",10,1,,"our fighting Services","our fighting services"
175,1964,"1964",10,1,,"home helps","home helps"
176,1964,"1964",10,1,"Economic class","employees","employees"
177,1964,"1964",10,1,"Geography","southeast England","southeast england"
178,1964,"1964",10,1,"Age/generation","young people (deprived of normal home life)","young people deprived of normal home life"
179,1964,"1964",10,1,,"British farmers","british farmers"
180,1964,"1964",10,1,"Economic class","those whose needs are greatest","those whose needs are greatest"
181,1964,"1964",10,1,"Economic class","those who work (after retirement age)","those who work after retirement age"
182,1964,"1964",10,1,"Geography","the towns and cities","the towns and cities"
183,1964,"1964",10,1,"Gender","every (boy and) girl (up to at least 18)","every boy and girl up to at least 18"
184,1964,"1964",10,1,"Age/generation","youth","youth"
185,1964,"1964",10,1,,"Britain","britain"
186,1964,"1964",10,1,"Geography","throughout the country","throughout the country"
187,1964,"1964",10,1,"Gender","women","women"
188,1964,"1964",10,1,"Other","many","many"
189,1964,"1964",10,1,,"Britain","britain"
190,1964,"1964",10,1,,"our country","our country"
191,1964,"1964",10,1,,"people","people"
192,1964,"1964",10,1,"Other","parents","parents"
193,1964,"1964",10,1,,"teachers","teachers"
194,1964,"1964",10,1,,"Britain","britain"
195,1964,"1964",10,1,"Other","family","family"
196,1964,"1964",10,1,,"the nation","the nation"
197,1964,"1964",10,2,"Gender","girls","girls"
198,1964,"1964",10,2,"Geography","Scotland","scotland"
199,1964,"1964",10,2,"Geography","Northern Ireland","northern ireland"
200,1964,"1964",10,2,,"technicians","technicians"
201,1964,"1964",10,2,,"production engineers","production engineers"
202,1964,"1964",10,2,,"Britain","britain"
203,1964,"1964",10,2,"Gender","the housewife","the housewife"
204,1964,"1964",10,2,"Geography","Midland regions","midland regions"
205,1964,"1964",10,2,"Other","taxpayers","taxpayers"
206,1964,"1964",10,2,"Economic class","lower paid workers","lower paid workers"
207,1964,"1964",10,2,"Age/generation","young people","young people"
208,1964,"1964",10,2,"Geography","towns","towns"
209,1964,"1964",10,2,"Economic class","companies","companies"
210,1964,"1964",10,2,"Health","the handicapped","the handicapped"
211,1964,"1964",10,2,"Economic class","the retired","the retired"
212,1964,"1964",10,2,,"Britain","britain"
213,1964,"1964",10,2,"Geography","Northern Ireland","northern ireland"
214,1964,"1964",10,2,"Geography","our towns","our towns"
215,1964,"1964",10,2,"Gender","widows","widows"
216,1964,"1964",10,2,"Geography","all our cities","all our cities"
217,1964,"1964",10,2,"Other","ordinary families","ordinary families"
218,1964,"1964",10,2,,"Britain","britain"
219,1964,"1964",10,2,"Economic class","the unemployed","the unemployed"
220,1964,"1964",10,2,,"teachers","teachers"
221,1964,"1964",10,2,,"Britain","britain"
222,1964,"1964",10,2,,"general practitioners","general practitioners"
223,1964,"1964",10,2,"Geography","our towns","our towns"
224,1964,"1964",10,2,,"people","people"
225,1964,"1964",10,2,,"people","people"
226,1964,"1964",10,2,"Economic class","The pensioner","the pensioner"
227,1964,"1964",10,2,,"Britain","britain"
228,1964,"1964",10,2,"Economic class","firms","firms"
229,1964,"1964",10,2,,"Britain","britain"
230,1964,"1964",10,2,,"Britain","britain"
231,1964,"1964",10,2,,"Britain","britain"
232,1964,"1964",10,2,,"Britain","britain"
233,1964,"1964",10,2,"Geography","the North","the north"
234,1964,"1964",10,2,"Health","the sick","the sick"
235,1964,"1964",10,2,"Geography","London","london"
236,1964,"1964",10,2,"Age/generation","old people","old people"
237,1964,"1964",10,2,,"Britain","britain"
238,1964,"1964",10,2,,"Britain","britain"
239,1964,"1964",10,2,"Geography","Scotland","scotland"
240,1964,"1964",10,2,"Age/generation","Older people","older people"
241,1964,"1964",10,2,,"Britain","britain"
242,1964,"1964",10,2,"Economic class","those least able to pay","those least able to pay"
243,1964,"1964",10,2,"Geography","cities","cities"
244,1964,"1964",10,2,,"people","people"
245,1964,"1964",10,2,,"designers","designers"
246,1964,"1964",10,2,"Health","the patient","the patient"
247,1964,"1964",10,2,"Economic class","public employees","public employees"
248,1964,"1964",10,2,"Age/generation","the elderly","the elderly"
249,1964,"1964",10,2,"Other","ordinary families","ordinary families"
250,1964,"1964",10,2,,"technologists","technologists"
251,1964,"1964",10,2,"Economic class","lower paid workers","lower paid workers"
252,1964,"1964",10,2,"Geography","Wales","wales"
253,1964,"1964",10,2,"Economic class","owner-occupiers","owner-occupiers"
254,1964,"1964",10,2,,"senior executives","senior executives"
255,1964,"1964",10,2,,"Britain","britain"
256,1964,"1964",10,2,,"the child","the child"
257,1964,"1964",10,2,,"child","child"
258,1964,"1964",10,2,"Economic class","the worker on average pay","the worker on average pay"
259,1964,"1964",10,2,"Age/generation","the young (worker)","the young worker"
260,1964,"1964",10,2,"Gender","woman","woman"
261,1964,"1964",10,2,"Gender","the housewife","the housewife"
262,1964,"1964",10,2,,"Britain","britain"
263,1964,"1964",10,2,,"the children","the children"
264,1964,"1964",10,2,"Economic class","small exporters","small exporters"
265,1964,"1964",10,2,,"individuals","individuals"
266,1964,"1964",10,2,"Health","sick","sick"
267,1964,"1964",10,2,"Economic class","the owner (i.e. of land)","the owner i.e. of land"
268,1964,"1964",10,2,"Economic class","Those whose incomes fall below the minimum (i.e.e national minimum benefit)","those whose incomes fall below the minimum i.e.e national minimum benefit"
269,1964,"1964",10,2,"Geography","Central Wales","central wales"
270,1964,"1964",10,2,"Economic class","(widows) of contributors (i.e. to a pension scheme)","widows of contributors i.e. to a pension scheme"
271,1964,"1964",10,2,"Geography","those who live in rural areas","those who live in rural areas"
272,1964,"1964",10,2,"Gender","widows","widows"
273,1964,"1964",10,2,,"teachers","teachers"
274,1964,"1964",10,2,,"The British people","the british people"
275,1964,"1964",10,2,"Economic class","lower paid workers","lower paid workers"
276,1964,"1964",10,2,,"the people","the people"
277,1964,"1964",10,2,,"dentists","dentists"
278,1964,"1964",10,2,"Geography","the South","the south"
279,1964,"1964",10,2,,"part-time...teachers","part-time...teachers"
280,1964,"1964",10,2,"Other","ordinary people","ordinary people"
281,1964,"1964",10,2,"Economic class","employees","employees"
282,1964,"1964",10,2,"Gender","men","men"
283,1964,"1964",10,2,"Other","go-ahead people","go-ahead people"
284,1964,"1964",10,2,"Economic class","owners (i.e. of homes)","owners i.e. of homes"
285,1964,"1964",10,2,"Geography","Scotland","scotland"
286,1964,"1964",10,2,"Economic class","adult workers","adult workers"
287,1964,"1964",10,2,"Other","taxpayers","taxpayers"
288,1964,"1964",10,2,"Health","the patient","the patient"
289,1964,"1964",10,2,"Economic class","the (young) worker","the young worker"
290,1964,"1964",10,2,"Other","adults with experience of practical life","adults with experience of practical life"
291,1964,"1964",10,2,"Economic class","a small wealthy minority","a small wealthy minority"
292,1964,"1964",10,2,,"children","children"
293,1964,"1964",10,2,"Economic class","tenants who wish to become owner-occupiers","tenants who wish to become owner-occupiers"
294,1964,"1964",10,2,,"ancillary staffs (i.e. in the NHS)","ancillary staffs i.e. in the nhs"
295,1964,"1964",10,2,"Other","Those who are married","those who are married"
296,1964,"1964",10,2,,"Britain","britain"
297,1964,"1964",10,2,"Geography","Wales","wales"
298,1964,"1964",10,2,,"doctors","doctors"
299,1964,"1964",10,2,,"our children","our children"
300,1964,"1964",10,2,,"the individual","the individual"
301,1964,"1964",10,2,,"the nation","the nation"
302,1964,"1964",10,2,"Geography","the different regions of the United Kingdom","the different regions of the united kingdom"
303,1964,"1964",10,2,"Other","our families","our families"
304,1964,"1964",10,2,"Gender","girls","girls"
305,1964,"1964",10,2,,"employers' organisations","employers' organisations"
306,1964,"1964",10,2,,"people","people"
307,1964,"1964",10,2,"Health","the sick","the sick"
308,1964,"1964",10,2,,"radiographers","radiographers"
309,1964,"1964",10,2,,"the unions","the unions"
310,1964,"1964",10,2,"Economic class","lower paid workers","lower paid workers"
311,1964,"1964",10,2,,"entrants to teaching","entrants to teaching"
312,1964,"1964",10,2,,"all its (i.e. Britain's) citizens","all its i.e. britain's citizens"
313,1964,"1964",10,2,"Nationality","immigrants","immigrants"
314,1964,"1964",10,2,"Economic class","employers","employers"
315,1964,"1964",10,2,"Economic class","householders with an original lease of more than 21 years","householders with an original lease of more than 21 years"
316,1964,"1964",10,2,,"the whole people","the whole people"
317,1964,"1964",10,2,,"nurses","nurses"
318,1964,"1964",10,2,"Other","its (i.e. the community's) members","its i.e. the community's members"
319,1964,"1964",10,2,,"trade unions","trade unions"
320,1964,"1964",10,2,,"Britain","britain"
321,1964,"1964",10,2,,"Britain","britain"
322,1964,"1964",10,2,"Geography","the Regions","the regions"
323,1964,"1964",10,2,,"Directors (i.e. of companies)","directors i.e. of companies"
324,1964,"1964",10,2,,"public employees","public employees"
325,1964,"1964",10,2,"Gender","every women [sic] who wishes to, or needs to, have her baby in hospital","every women sic who wishes to, or needs to, have her baby in hospital"
326,1964,"1964",10,2,"Geography","Northern Ireland","northern ireland"
327,1964,"1964",10,2,,"the British people","the british people"
328,1964,"1964",10,2,,"the subject","the subject"
329,1964,"1964",10,2,"Gender","(trained) men","trained men"
330,1964,"1964",10,2,"Economic class","owner-occupier","owner-occupier"
331,1964,"1964",10,2,"Geography","the regions of England","the regions of england"
332,1964,"1964",10,2,,"dieticians","dieticians"
333,1964,"1964",10,2,"Geography","the countryside","the countryside"
334,1964,"1964",10,2,"Economic class","the lower paid worker","the lower paid worker"
335,1964,"1964",10,2,"Economic class","all owner-occupiers","all owner-occupiers"
336,1964,"1964",10,2,,"Britain","britain"
337,1964,"1964",10,2,"Economic class","firms","firms"
338,1964,"1964",10,2,"Other","the large family","the large family"
339,1964,"1964",10,2,,"Britain","britain"
340,1964,"1964",10,2,"Other","the community","the community"
341,1964,"1964",10,2,"Other","the consumer","the consumer"
342,1964,"1964",10,2,"Other","community","community"
343,1964,"1964",10,2,"Gender","men","men"
344,1964,"1964",10,2,,"the British","the british"
345,1964,"1964",10,2,"Other","the family","the family"
346,1964,"1964",10,2,"Geography","British communities","british communities"
347,1964,"1964",10,2,,"the farmer","the farmer"
348,1964,"1964",10,2,,"the unions","the unions"
349,1964,"1964",10,2,,"Britain","britain"
350,1964,"1964",10,2,,"The country","the country"
351,1964,"1964",10,2,"Other","trained (men)","trained men"
352,1964,"1964",10,2,,"the citizen","the citizen"
353,1964,"1964",10,2,"Economic class","owner-occupiers","owner-occupiers"
354,1964,"1964",10,2,"Gender","every man","every man"
355,1964,"1964",10,2,,"Britain","britain"
356,1964,"1964",10,2,,"qualified medical staff","qualified medical staff"
357,1964,"1964",10,2,"Other","the community","the community"
358,1964,"1964",10,2,"Economic class","the lower paid worker","the lower paid worker"
359,1964,"1964",10,2,,"responsible citizens","responsible citizens"
360,1964,"1964",10,2,"Gender","boys","boys"
361,1964,"1964",10,2,"Geography","other parts of our country (i.e. not the South)","other parts of our country i.e. not the south"
362,1964,"1964",10,2,,"the citizen","the citizen"
363,1964,"1964",10,2,"Gender","Widows","widows"
364,1964,"1964",10,2,"Nationality","immigrants","immigrants"
365,1964,"1964",10,2,,"elderly teachers","elderly teachers"
366,1964,"1964",10,2,"Economic class","landlords","landlords"
367,1964,"1964",10,2,"Other","the community","the community"
368,1964,"1964",10,2,,"our citizens","our citizens"
369,1964,"1964",10,2,"Other","the community","the community"
370,1964,"1964",10,2,"Gender","widows","widows"
371,1964,"1964",10,2,"Economic class","those already retired","those already retired"
372,1964,"1964",10,2,"Age/generation","the old people","the old people"
373,1964,"1964",10,2,"Geography","our major cities","our major cities"
374,1964,"1964",10,2,"Geography","Wales","wales"
375,1964,"1964",10,2,,"Farmers","farmers"
376,1964,"1964",10,2,"Economic class","students","students"
377,1964,"1964",10,2,"Economic class","owner-occupiers","owner-occupiers"
378,1964,"1964",10,2,"Geography","people...in the capital","people...in the capital"
379,1964,"1964",10,2,"Age/generation","the old","the old"
380,1964,"1964",10,2,"Gender","widows (of contributors (i.e. to a pension scheme))","widows of contributors i.e. to a pension scheme"
381,1964,"1964",10,2,"Economic class","enterprises","enterprises"
382,1964,"1964",10,2,"Other","taxpayers","taxpayers"
383,1964,"1964",10,2,"Geography","new town","new town"
384,1964,"1964",10,2,"Geography","the whole people in the regions","the whole people in the regions"
385,1964,"1964",10,2,"Health","the mentally ill","the mentally ill"
386,1964,"1964",10,2,"Economic class","employees who, through no fault of their own, find that their job has disappeared","employees who, through no fault of their own, find that their job has disappeared"
387,1964,"1964",10,2,"Economic class","all employees","all employees"
388,1964,"1964",10,2,,"Britain","britain"
389,1964,"1964",10,2,"Gender","women","women"
390,1964,"1964",10,2,"Gender","women","women"
391,1966,"1966",3,1,"Other","the car driver","the car driver"
392,1966,"1966",3,1,,"Britain","britain"
393,1966,"1966",3,1,"Gender","expectant...mothers","expectant...mothers"
394,1966,"1966",3,1,"Other","the commuter","the commuter"
395,1966,"1966",3,1,"Geography","those areas (i.e. in Scotland) where it (i.e. development) is most needed","those areas i.e. in scotland where it i.e. development is most needed"
396,1966,"1966",3,1,,"employers' associations","employers' associations"
397,1966,"1966",3,1,"Economic class","people who have put by some savings","people who have put by some savings"
398,1966,"1966",3,1,"Other","those who have special needs not yet met by the Welfare State","those who have special needs not yet met by the welfare state"
399,1966,"1966",3,1,"Geography","the remaining slums in (Glasgow, Edinburgh,) Dundee, (and other cities)","the remaining slums in glasgow, edinburgh, dundee, and other cities"
400,1966,"1966",3,1,"Other","our community","our community"
401,1966,"1966",3,1,,"everyone","everyone"
402,1966,"1966",3,1,"Geography","Caernarvon","caernarvon"
403,1966,"1966",3,1,"Nationality","immigrants","immigrants"
404,1966,"1966",3,1,,"Britain","britain"
405,1966,"1966",3,1,"Economic class","(areas) where there is most need","areas where there is most need"
406,1966,"1966",3,1,,"Britain","britain"
407,1966,"1966",3,1,,"part-time teachers","part-time teachers"
408,1966,"1966",3,1,"Economic class","employers","employers"
409,1966,"1966",3,1,,"unions","unions"
410,1966,"1966",3,1,"Nationality","immigrants","immigrants"
411,1966,"1966",3,1,"Geography","countryside","countryside"
412,1966,"1966",3,1,"Economic class","(widows) who have been out of employment for many years","widows who have been out of employment for many years"
413,1966,"1966",3,1,"Geography","other country areas (i.e. in Scotland)","other country areas i.e. in scotland"
414,1966,"1966",3,1,"Other","(children in) families (where the income is below the minimum need)","children in families where the income is below the minimum need"
415,1966,"1966",3,1,"Economic class","(war) pensioners","war pensioners"
416,1966,"1966",3,1,,"teachers","teachers"
417,1966,"1966",3,1,"Gender","men","men"
418,1966,"1966",3,1,"Gender","individual men","individual men"
419,1966,"1966",3,1,"Nationality","any dependens who might at any time wish to join them (i.e. immigrants living in the UK)","any dependens who might at any time wish to join them i.e. immigrants living in the uk"
420,1966,"1966",3,1,,"employers' associations","employers' associations"
421,1966,"1966",3,1,"Health","the severely disabled","the severely disabled"
422,1966,"1966",3,1,,"Britain","britain"
423,1966,"1966",3,1,"Geography","Wales","wales"
424,1966,"1966",3,1,,"people","people"
425,1966,"1966",3,1,"Economic class","small firms","small firms"
426,1966,"1966",3,1,,"the people of Britain","the people of britain"
427,1966,"1966",3,1,"Age/generation","the very old","the very old"
428,1966,"1966",3,1,"Other","war (pensioners)","war pensioners"
429,1966,"1966",3,1,,"Britain","britain"
430,1966,"1966",3,1,,"family doctors","family doctors"
431,1966,"1966",3,1,,"teachers","teachers"
432,1966,"1966",3,1,"Other","offenders","offenders"
433,1966,"1966",3,1,,"doctors","doctors"
434,1966,"1966",3,1,"Geography","Northern Ireland","northern ireland"
435,1966,"1966",3,1,,"the country","the country"
436,1966,"1966",3,1,"Economic class","those areas (i.e. in Scotland) where it (i.e. development) is most needed","those areas i.e. in scotland where it i.e. development is most needed"
437,1966,"1966",3,1,,"the trade unions","the trade unions"
438,1966,"1966",3,1,"Other","the growing numbers who (leave the towns) to (sail,) ski, (climb, picnic, or go caravaning)","the growing numbers who leave the towns to sail, ski, climb, picnic, or go caravaning"
439,1966,"1966",3,1,"Age/generation","those too old to be covered by National Insurance","those too old to be covered by national insurance"
440,1966,"1966",3,1,"Geography","the big cities","the big cities"
441,1966,"1966",3,1,"Other","families","families"
442,1966,"1966",3,1,"Geography","mid-Wales","mid-wales"
443,1966,"1966",3,1,"Economic class","people below the standard rate of tax who are buying their home","people below the standard rate of tax who are buying their home"
444,1966,"1966",3,1,"Geography","Wales","wales"
445,1966,"1966",3,1,"Other","taxpayers","taxpayers"
446,1966,"1966",3,1,"Economic class","those who retired before 1956","those who retired before 1956"
447,1966,"1966",3,1,"Geography","the remaining slums in Glasgow (Edinburgh, Dundee, and other cities)","the remaining slums in glasgow edinburgh, dundee, and other cities"
448,1966,"1966",3,1,"Economic class","home buyer","home buyer"
449,1966,"1966",3,1,,"Britain","britain"
450,1966,"1966",3,1,,"industrial consultants","industrial consultants"
451,1966,"1966",3,1,"Nationality","new immigrants","new immigrants"
452,1966,"1966",3,1,"Gender","every...woman","every...woman"
453,1966,"1966",3,1,,"Britain","britain"
454,1966,"1966",3,1,"Geography","the UK","the uk"
455,1966,"1966",3,1,"Economic class","those who really need them (i.e. council house subsidies)","those who really need them i.e. council house subsidies"
456,1966,"1966",3,1,"Geography","the growing numbers who leave the towns (to sail, ski, climb, picnic, or go caravaning)","the growing numbers who leave the towns to sail, ski, climb, picnic, or go caravaning"
457,1966,"1966",3,1,"Geography","the counties west of the Bann","the counties west of the bann"
