id,year1,month,sourname,claimsta,claimpar,objid,objtype,objdim,subtype,subparty,subpres,reltype,reldirec,vers
33,1964,10,1,1,"Conservative Party","the many new towns","Social group","Geography",1,"Conservative Party",1,"Indirect","Positive/associate",1
34,1964,10,1,1,"Conservative Party","each nation","Social group","Geography",1,"Conservative Party",1,"Direct","Positive/associate",1
35,1964,10,1,1,"Conservative Party","the older (pensioners)","Social group","Age/generation",1,"Conservative Party",1,"Indirect","Positive/associate",1
36,1964,10,1,1,"Conservative Party","those (householders) living on small fixed incomes","Social group","Economic class",1,"Conservative Party",1,"Indirect","Positive/associate",1
37,1964,10,1,1,"Conservative Party","industrial workers (under 18)","Social group","Economic class",1,"Conservative Party",1,"Indirect","Positive/associate",1
38,1964,10,1,1,"Conservative Party","one family in every four","Social group","Other",1,"Conservative Party",1,"Indirect","Positive/associate",1
39,1964,10,1,1,"Conservative Party","teachers","Professional group",,1,"Conservative Party",1,"Indirect","Positive/associate",1
40,1964,10,1,1,"Conservative Party","companies","Social group","Economic class",1,"Conservative Party",1,"Indirect","Positive/associate",1
41,1964,10,1,1,"Conservative Party","each region","Social group","Geography",1,"Conservative Party",1,"Indirect","Positive/associate",1
42,1964,10,1,1,"Conservative Party","most of England","Social group","Geography",1,"Conservative Party",1,"Indirect","Positive/associate",1
43,1964,10,1,1,"Conservative Party","London","Social group","Geography",1,"Conservative Party",1,"Indirect","Positive/associate",1
44,1964,10,1,1,"Conservative Party","out-dated (residential areas)","Social group","Economic class",1,"Conservative Party",1,"Indirect","Positive/associate",1
45,1964,10,1,1,"Conservative Party","northeast England","Social group","Geography",1,"Conservative Party",1,"Indirect","Positive/associate",1
46,1964,10,1,1,"Conservative Party","passengers","Social group","Other",1,"Conservative Party",1,"Indirect","Positive/associate",1
47,1964,10,1,1,"Conservative Party","the handicapped","Social group","Health",2,"Conservative Party",1,"Direct","Positive/associate",1
48,1964,10,1,1,"Conservative Party","the South","Social group","Geography",1,"Conservative Party",1,"Indirect","Indiscernible",1
49,1964,10,1,1,"Conservative Party","men","Social group","Gender",2,"Conservative Party",1,"Direct","Positive/associate",1
50,1964,10,1,1,"Conservative Party","teachers","Professional group",,1,"Conservative Party",1,"Indirect","Positive/associate",1
51,1964,10,1,1,"Conservative Party","the nation","General public",,1,"Conservative Party",1,"Indirect","Positive/associate",1
52,1964,10,1,1,"Conservative Party","Scotland","Social group","Geography",1,"Conservative Party",1,"Indirect","Positive/associate",1
53,1964,10,1,1,"Conservative Party","our crowded country","General public",,1,"Conservative Party",1,"Indirect","Positive/associate",1
54,1964,10,1,1,"Conservative Party","every (man, woman and) child in the country","Other",,1,"Conservative Party",1,"Indirect","Positive/associate",1
55,1964,10,1,1,"Conservative Party","farmers'","Professional group",,1,"Conservative Party",1,"Indirect","Positive/associate",1
56,1964,10,1,1,"Conservative Party","workers (who fall ill)","Social group","Economic class",1,"Conservative Party",1,"Indirect","Positive/associate",1
57,1964,10,1,1,"Conservative Party","widows (with children)","Social group","Gender",1,"Conservative Party",1,"Indirect","Positive/associate",1
58,1964,10,1,1,"Conservative Party","more than 50,000 students (from developing countries)","Social group","Economic class",1,"Conservative Party",1,"Indirect","Positive/associate",1
59,1964,10,1,1,"Conservative Party","trade unions","Interest group",,1,"Conservative Party",1,"Direct","Positive/associate",1
60,1964,10,1,1,"Conservative Party","men","Social group","Gender",1,"Conservative Party",1,"Indirect","Positive/associate",1
61,1964,10,1,1,"Conservative Party","widows (at work)","Social group","Gender",1,"Conservative Party",1,"Indirect","Positive/associate",1
62,1964,10,1,1,"Conservative Party","the public","General public",,1,"Conservative Party",1,"Direct","Positive/associate",1
63,1964,10,1,1,"Conservative Party","those leaving school to start work at once","Social group","Economic class",1,"Conservative Party",1,"Indirect","Positive/associate",1
64,1964,10,1,1,"Conservative Party","Britain","General public",,1,"Conservative Party",2,"Direct","Indiscernible",1
65,1964,10,1,1,"Conservative Party","women","Social group","Gender",1,"Conservative Party",1,"Indirect","Positive/associate",1
66,1964,10,1,1,"Conservative Party","this country","General public",,1,"Conservative Party",1,"Direct","Positive/associate",1
67,1964,10,1,1,"Conservative Party","the victims of violent crime","Social group","Other",1,"Conservative Party",1,"Indirect","Positive/associate",1
68,1964,10,1,1,"Conservative Party","young people","Social group","Age/generation",1,"Conservative Party",1,"Direct","Positive/associate",1
69,1964,10,1,1,"Conservative Party","young people","Social group","Age/generation",1,"Conservative Party",1,"Indirect","Positive/associate",1
70,1964,10,1,1,"Conservative Party","those receiving such benefits","Social group","Economic class",1,"Conservative Party",1,"Indirect","Positive/associate",1
71,1964,10,1,1,"Conservative Party","the (older) pensioners","Social group","Economic class",1,"Conservative Party",1,"Indirect","Positive/associate",1
72,1964,10,1,1,"Conservative Party","Britain's","General public",,1,"Conservative Party",1,"Indirect","Positive/associate",1
73,1964,10,1,1,"Conservative Party","100,000 extra students","Social group","Economic class",1,"Conservative Party",1,"Indirect","Positive/associate",1
74,1964,10,1,1,"Conservative Party","the individual","General public",,2,"Conservative Party",1,"Direct","Positive/associate",1
75,1964,10,1,1,"Conservative Party","Britain","General public",,1,"Conservative Party",1,"Direct","Positive/associate",1
76,1964,10,1,1,"Conservative Party","families","Social group","Other",1,"Conservative Party",1,"Indirect","Positive/associate",1
77,1964,10,1,1,"Conservative Party","towns and cities (where most remaining slums are concentrated)","Social group","Geography",1,"Conservative Party",1,"Indirect","Positive/associate",1
78,1964,10,1,1,"Conservative Party","management","Social group","Economic class",1,"Conservative Party",1,"Indirect","Positive/associate",1
79,1964,10,1,1,"Conservative Party","the individual","General public",,1,"Conservative Party",1,"Direct","Positive/associate",1
80,1964,10,1,1,"Conservative Party","(widows) at work","Social group","Economic class",1,"Conservative Party",1,"Indirect","Positive/associate",1
81,1964,10,1,1,"Conservative Party","offenders","Social group","Other",1,"Conservative Party",1,"Indirect","Both directions",1
82,1964,10,1,1,"Conservative Party","viewers and listeners","Social group","Other",1,"Conservative Party",2,"Indirect","Positive/associate",1
83,1964,10,1,1,"Conservative Party","the elderly","Social group","Age/generation",1,"Conservative Party",1,"Indirect","Positive/associate",1
84,1964,10,1,1,"Conservative Party","qualified married women","Social group","Gender",1,"Conservative Party",1,"Indirect","Positive/associate",1
85,1964,10,1,1,"Conservative Party","cities and towns","Social group","Geography",1,"Conservative Party",1,"Indirect","Positive/associate",1
86,1964,10,1,1,"Conservative Party","Northern Ireland's","Social group","Geography",1,"Conservative Party",1,"Indirect","Positive/associate",1
87,1964,10,1,1,"Conservative Party","widows","Social group","Gender",1,"Conservative Party",1,"Indirect","Positive/associate",1
88,1964,10,1,1,"Conservative Party","(industrial workers) under 18","Social group","Age/generation",1,"Conservative Party",1,"Indirect","Positive/associate",1
89,1964,10,1,1,"Conservative Party","the nation's","General public",,1,"Conservative Party",1,"Direct","Positive/associate",1
90,1964,10,1,1,"Conservative Party","Britain's","General public",,1,"Conservative Party",1,"Indirect","Positive/associate",1
91,1964,10,1,1,"Conservative Party","country's","General public",,2,"Conservative Party",1,"Direct","Positive/associate",1
92,1964,10,1,1,"Conservative Party","every man, (woman and child) in the country","Social group","Gender",1,"Conservative Party",1,"Indirect","Positive/associate",1
93,1964,10,1,1,"Conservative Party","young people","Social group","Age/generation",1,"Conservative Party",2,"Direct","Positive/associate",1
94,1964,10,1,1,"Conservative Party","ratepayer","Social group","Other",1,"Conservative Party",2,"Direct","Indiscernible",1
95,1964,10,1,1,"Conservative Party","a person","General public",,1,"Conservative Party",1,"Indirect","Positive/associate",1
96,1964,10,1,1,"Conservative Party","Britain's","General public",,1,"Conservative Party",1,"Indirect","Positive/associate",1
97,1964,10,1,1,"Conservative Party","teachers","Professional group",,1,"Conservative Party",2,"Direct","Indiscernible",1
98,1964,10,1,1,"Conservative Party","the old","Social group","Age/generation",2,"Conservative Party",1,"Direct","Positive/associate",1
99,1964,10,1,1,"Conservative Party","private woodland owners","Social group","Economic class",1,"Conservative Party",1,"Direct","Positive/associate",1
100,1964,10,1,1,"Conservative Party","landlords","Social group","Economic class",1,"Conservative Party",1,"Indirect","Negative/dissociate",1
101,1964,10,1,1,"Conservative Party","patients","Social group","Health",1,"Conservative Party",1,"Indirect","Positive/associate",1
102,1964,10,1,1,"Conservative Party","new teachers","Professional group",,1,"Conservative Party",1,"Indirect","Positive/associate",1
103,1964,10,1,1,"Conservative Party","the British people","General public",,2,"Conservative Party",1,"Direct","Positive/associate",1
104,1964,10,1,1,"Conservative Party","war widows","Social group","Gender",1,"Conservative Party",1,"Indirect","Positive/associate",1
105,1964,10,1,1,"Conservative Party","employers' associations","Interest group",,1,"Conservative Party",1,"Direct","Indiscernible",1
106,1964,10,1,1,"Conservative Party","the consumer","Social group","Other",1,"Conservative Party",2,"Direct","Indiscernible",1
107,1964,10,1,1,"Conservative Party","housewives","Social group","Gender",1,"Conservative Party",1,"Indirect","Positive/associate",1
108,1964,10,1,1,"Conservative Party","the public","General public",,1,"Conservative Party",1,"Indirect","Positive/associate",1
109,1964,10,1,1,"Conservative Party","Britain","General public",,1,"Conservative Party",1,"Direct","Positive/associate",1
110,1964,10,1,1,"Conservative Party","contemporary artists","Professional group",,1,"Conservative Party",1,"Indirect","Positive/associate",1
111,1964,10,1,1,"Conservative Party","women","Social group","Gender",1,"Conservative Party",1,"Indirect","Positive/associate",1
112,1964,10,1,1,"Conservative Party","those disabled in the service of their country","Professional group",,1,"Conservative Party",1,"Indirect","Positive/associate",1
113,1964,10,1,1,"Conservative Party","housing societies","Interest group",,1,"Conservative Party",1,"Indirect","Positive/associate",1
114,1964,10,1,1,"Conservative Party","other parts of the countryside","Social group","Geography",1,"Conservative Party",1,"Indirect","Positive/associate",1
115,1964,10,1,1,"Conservative Party","London","Social group","Geography",1,"Conservative Party",1,"Indirect","Positive/associate",1
116,1964,10,1,1,"Conservative Party","widows","Social group","Gender",1,"Conservative Party",1,"Indirect","Positive/associate",1
117,1964,10,1,1,"Conservative Party","old people living at home","Social group","Age/generation",1,"Conservative Party",1,"Indirect","Positive/associate",1
118,1964,10,1,1,"Conservative Party","those disabled (in the service of their country)","Social group","Health",1,"Conservative Party",1,"Indirect","Positive/associate",1
119,1964,10,1,1,"Conservative Party","towns","Social group","Geography",1,"Conservative Party",1,"Direct","Positive/associate",1
120,1964,10,1,1,"Conservative Party","the family doctor","Professional group",,1,"Conservative Party",1,"Indirect","Positive/associate",1
121,1964,10,1,1,"Conservative Party","each region","Social group","Geography",1,"Conservative Party",1,"Indirect","Positive/associate",1
122,1964,10,1,1,"Conservative Party","the sick","Social group","Health",2,"Conservative Party",1,"Direct","Positive/associate",1
123,1964,10,1,1,"Conservative Party","the child","Other",,1,"Conservative Party",1,"Indirect","Positive/associate",1
124,1964,10,1,1,"Conservative Party","Britain","General public",,1,"Conservative Party",1,"Indirect","Positive/associate",1
125,1964,10,1,1,"Conservative Party","the young","Social group","Age/generation",2,"Conservative Party",1,"Direct","Positive/associate",1
126,1964,10,1,1,"Conservative Party","those who cannot afford them","Social group","Economic class",1,"Conservative Party",1,"Indirect","Positive/associate",1
127,1964,10,1,1,"Conservative Party","ratepayer","Social group","Other",1,"Conservative Party",1,"Indirect","Positive/associate",1
128,1964,10,1,1,"Conservative Party","ratepayer","Social group","Other",1,"Conservative Party",1,"Indirect","Positive/associate",1
129,1964,10,1,1,"Conservative Party","the countryside","Social group","Geography",1,"Conservative Party",1,"Indirect","Positive/associate",1
130,1964,10,1,1,"Conservative Party","this country","General public",,1,"Conservative Party",1,"Indirect","Positive/associate",1
131,1964,10,1,1,"Conservative Party","social workers","Professional group",,1,"Conservative Party",1,"Indirect","Positive/associate",1
132,1964,10,1,1,"Conservative Party","redundant workers","Social group","Economic class",1,"Conservative Party",1,"Indirect","Positive/associate",1
133,1964,10,1,1,"Conservative Party","(young people) deprived of normal home life","Social group","Economic class",1,"Conservative Party",1,"Indirect","Positive/associate",1
134,1964,10,1,1,"Conservative Party","built-up areas","Social group","Geography",1,"Conservative Party",1,"Indirect","Positive/associate",1
135,1964,10,1,1,"Conservative Party","men","Social group","Gender",1,"Conservative Party",1,"Indirect","Positive/associate",1
136,1964,10,1,1,"Conservative Party","health visitors","Professional group",,1,"Conservative Party",1,"Indirect","Positive/associate",1
137,1964,10,1,1,"Conservative Party","taxpayer","Social group","Other",1,"Conservative Party",1,"Indirect","Positive/associate",1
138,1964,10,1,1,"Conservative Party","industrial regions","Social group","Geography",1,"Conservative Party",1,"Indirect","Positive/associate",1
139,1964,10,1,1,"Conservative Party","central Scotland","Social group","Geography",1,"Conservative Party",1,"Indirect","Positive/associate",1
140,1964,10,1,1,"Conservative Party","areas where expansion can bring social and employment benefits [for forestry]","Social group","Geography",1,"Conservative Party",1,"Indirect","Positive/associate",1
141,1964,10,1,1,"Conservative Party","shipowners","Social group","Economic class",1,"Conservative Party",1,"Indirect","Positive/associate",1
142,1964,10,1,1,"Conservative Party","shop-workers","Social group","Economic class",1,"Conservative Party",1,"Indirect","Positive/associate",1
143,1964,10,1,1,"Conservative Party","the British people","General public",,1,"Conservative Party",1,"Direct","Positive/associate",1
144,1964,10,1,1,"Conservative Party","taxpayer","Social group","Other",1,"Conservative Party",2,"Direct","Indiscernible",1
145,1964,10,1,1,"Conservative Party","(towns and cities) where most remaining slums are concentrated","Social group","Economic class",1,"Conservative Party",1,"Indirect","Positive/associate",1
146,1964,10,1,1,"Conservative Party","major cities","Social group","Geography",1,"Conservative Party",1,"Indirect","Positive/associate",1
147,1964,10,1,1,"Conservative Party","shoppers","Social group","Other",1,"Conservative Party",1,"Indirect","Positive/associate",1
148,1964,10,1,1,"Conservative Party","those not needing hospital care","Social group","Health",1,"Conservative Party",1,"Indirect","Positive/associate",1
149,1964,10,1,1,"Conservative Party","every mother","Social group","Gender",1,"Conservative Party",1,"Indirect","Positive/associate",1
150,1964,10,1,1,"Conservative Party","taxpayers","Social group","Other",1,"Conservative Party",1,"Indirect","Positive/associate",1
151,1964,10,1,1,"Conservative Party","rural areas","Social group","Geography",1,"Conservative Party",1,"Indirect","Positive/associate",1
152,1964,10,1,1,"Conservative Party","Wales","Social group","Geography",1,"Conservative Party",1,"Direct","Positive/associate",1
153,1964,10,1,1,"Conservative Party","the healing professions","Professional group",,1,"Conservative Party",1,"Direct","Positive/associate",1
154,1964,10,1,1,"Conservative Party","trade unions","Interest group",,1,"Conservative Party",1,"Direct","Indiscernible",1
155,1964,10,1,1,"Conservative Party","Wales","Social group","Geography",1,"Conservative Party",1,"Indirect","Positive/associate",1
156,1964,10,1,1,"Conservative Party","unions","Interest group",,1,"Conservative Party",1,"Indirect","Positive/associate",1
157,1964,10,1,1,"Conservative Party","the young","Social group","Age/generation",1,"Conservative Party",1,"Indirect","Both directions",1
158,1964,10,1,1,"Conservative Party","those who suffer from this form of hooliganism","Social group","Other",1,"Conservative Party",1,"Indirect","Positive/associate",1
159,1964,10,1,1,"Conservative Party","the physically and mentally handicapped","Social group","Health",1,"Conservative Party",1,"Indirect","Positive/associate",1
160,1964,10,1,1,"Conservative Party","doctors","Professional group",,1,"Conservative Party",1,"Indirect","Positive/associate",1
161,1964,10,1,1,"Conservative Party","our country","General public",,2,"Conservative Party",1,"Direct","Positive/associate",1
162,1964,10,1,1,"Conservative Party","some 19,000 British (men and) women","Social group","Gender",1,"Conservative Party",1,"Indirect","Positive/associate",1
163,1964,10,1,1,"Conservative Party","retired members (of the armed forces)","Social group","Economic class",1,"Conservative Party",1,"Indirect","Positive/associate",1
164,1964,10,1,1,"Conservative Party","individuals","General public",,1,"Conservative Party",1,"Indirect","Positive/associate",1
165,1964,10,1,1,"Conservative Party","(those who work) after retirement age","Social group","Age/generation",1,"Conservative Party",1,"Indirect","Positive/associate",1
166,1964,10,1,1,"Conservative Party","offenders","Social group","Other",1,"Conservative Party",1,"Indirect","Positive/associate",1
167,1964,10,1,1,"Conservative Party","some 19,000 British men (and women)","Social group","Gender",1,"Conservative Party",1,"Indirect","Positive/associate",1
168,1964,10,1,1,"Conservative Party","those householders (living on small fixed incomes)","Social group","Other",1,"Conservative Party",1,"Indirect","Positive/associate",1
169,1964,10,1,1,"Conservative Party","the elderly","Social group","Age/generation",1,"Conservative Party",1,"Indirect","Positive/associate",1
170,1964,10,1,1,"Conservative Party","growers [farmers]","Professional group",,1,"Conservative Party",1,"Indirect","Positive/associate",1
171,1964,10,1,1,"Conservative Party","Britain's","General public",,1,"Conservative Party",1,"Indirect","Positive/associate",1
172,1964,10,1,1,"Conservative Party","cities and towns","Social group","Geography",1,"Conservative Party",1,"Indirect","Positive/associate",1
173,1964,10,1,1,"Conservative Party","new and expanded towns","Social group","Geography",1,"Conservative Party",1,"Indirect","Positive/associate",1
174,1964,10,1,1,"Conservative Party","our fighting Services","Professional group",,1,"Conservative Party",1,"Direct","Positive/associate",1
175,1964,10,1,1,"Conservative Party","home helps","Professional group",,1,"Conservative Party",1,"Indirect","Positive/associate",1
176,1964,10,1,1,"Conservative Party","employees","Social group","Economic class",1,"Conservative Party",1,"Indirect","Positive/associate",1
177,1964,10,1,1,"Conservative Party","southeast England","Social group","Geography",1,"Conservative Party",1,"Indirect","Positive/associate",1
178,1964,10,1,1,"Conservative Party","young people (deprived of normal home life)","Social group","Age/generation",1,"Conservative Party",1,"Indirect","Positive/associate",1
179,1964,10,1,1,"Conservative Party","British farmers","Professional group",,1,"Conservative Party",1,"Indirect","Positive/associate",1
180,1964,10,1,1,"Conservative Party","those whose needs are greatest","Social group","Economic class",1,"Conservative Party",1,"Indirect","Positive/associate",1
181,1964,10,1,1,"Conservative Party","those who work (after retirement age)","Social group","Economic class",1,"Conservative Party",1,"Indirect","Positive/associate",1
182,1964,10,1,1,"Conservative Party","the towns and cities","Social group","Geography",1,"Conservative Party",1,"Direct","Positive/associate",1
183,1964,10,1,1,"Conservative Party","every (boy and) girl (up to at least 18)","Social group","Gender",1,"Conservative Party",1,"Indirect","Positive/associate",1
184,1964,10,1,1,"Conservative Party","youth","Social group","Age/generation",1,"Conservative Party",2,"Direct","Positive/associate",1
185,1964,10,1,1,"Conservative Party","Britain","General public",,1,"Conservative Party",1,"Direct","Positive/associate",1
186,1964,10,1,1,"Conservative Party","throughout the country","Social group","Geography",1,"Conservative Party",1,"Indirect","Positive/associate",1
187,1964,10,1,1,"Conservative Party","women","Social group","Gender",1,"Conservative Party",1,"Indirect","Positive/associate",1
188,1964,10,1,1,"Conservative Party","many","Social group","Other",1,"Labour Party",1,"Direct","Negative/dissociate",1
189,1964,10,1,1,"Conservative Party","Britain","General public",,1,"Labour Party",1,"Direct","Negative/dissociate",1
190,1964,10,1,1,"Conservative Party","our country","General public",,1,"Labour Party",1,"Indirect","Negative/dissociate",1
191,1964,10,1,1,"Conservative Party","people","General public",,1,"Other",1,"Direct","Negative/dissociate",1
192,1964,10,1,1,"Conservative Party","parents","Social group","Other",1,"Other",1,"Indirect","Negative/dissociate",1
193,1964,10,1,1,"Conservative Party","teachers","Professional group",,1,"Other",1,"Indirect","Negative/dissociate",1
194,1964,10,1,1,"Conservative Party","Britain","General public",,1,"Other",1,"Indirect","Negative/dissociate",1
195,1964,10,1,1,"Conservative Party","family","Social group","Other",1,"Other",1,"Direct","Negative/dissociate",1
196,1964,10,1,1,"Conservative Party","the nation","General public",,1,"Other",1,"Direct","Negative/dissociate",1
197,1964,10,2,2,"Labour Party","girls","Social group","Gender",1,"Conservative Party",2,"Indirect","Negative/dissociate",1
198,1964,10,2,2,"Labour Party","Scotland","Social group","Geography",1,"Conservative Party",2,"Indirect","Negative/dissociate",1
199,1964,10,2,2,"Labour Party","Northern Ireland","Social group","Geography",1,"Conservative Party",2,"Indirect","Negative/dissociate",1
200,1964,10,2,2,"Labour Party","technicians","Professional group",,1,"Conservative Party",2,"Direct","Negative/dissociate",1
201,1964,10,2,2,"Labour Party","production engineers","Professional group",,1,"Conservative Party",2,"Direct","Negative/dissociate",1
202,1964,10,2,2,"Labour Party","Britain","General public",,1,"Conservative Party",1,"Direct","Negative/dissociate",1
203,1964,10,2,2,"Labour Party","the housewife","Social group","Gender",1,"Conservative Party",2,"Indirect","Negative/dissociate",1
204,1964,10,2,2,"Labour Party","Midland regions","Social group","Geography",1,"Conservative Party",2,"Indirect","Negative/dissociate",1
205,1964,10,2,2,"Labour Party","taxpayers","Social group","Other",1,"Conservative Party",2,"Direct","Negative/dissociate",1
206,1964,10,2,2,"Labour Party","lower paid workers","Social group","Economic class",2,"Conservative Party",1,"Indirect","Negative/dissociate",1
207,1964,10,2,2,"Labour Party","young people","Social group","Age/generation",1,"Conservative Party",2,"Indirect","Negative/dissociate",1
208,1964,10,2,2,"Labour Party","towns","Social group","Geography",1,"Conservative Party",2,"Direct","Negative/dissociate",1
209,1964,10,2,2,"Labour Party","companies","Social group","Economic class",1,"Conservative Party",2,"Indirect","Negative/dissociate",1
210,1964,10,2,2,"Labour Party","the handicapped","Social group","Health",1,"Conservative Party",2,"Indirect","Negative/dissociate",1
211,1964,10,2,2,"Labour Party","the retired","Social group","Economic class",1,"Conservative Party",2,"Indirect","Negative/dissociate",1
212,1964,10,2,2,"Labour Party","Britain","General public",,1,"Conservative Party",1,"Indirect","Negative/dissociate",1
213,1964,10,2,2,"Labour Party","Northern Ireland","Social group","Geography",1,"Conservative Party",2,"Indirect","Positive/associate",1
214,1964,10,2,2,"Labour Party","our towns","Social group","Geography",1,"Conservative Party",2,"Indirect","Negative/dissociate",1
215,1964,10,2,2,"Labour Party","widows","Social group","Gender",1,"Conservative Party",2,"Indirect","Negative/dissociate",1
216,1964,10,2,2,"Labour Party","all our cities","Social group","Geography",1,"Conservative Party",2,"Indirect","Negative/dissociate",1
217,1964,10,2,2,"Labour Party","ordinary families","Social group","Other",1,"Conservative Party",1,"Indirect","Negative/dissociate",1
218,1964,10,2,2,"Labour Party","Britain","General public",,2,"Conservative Party",1,"Indirect","Negative/dissociate",1
219,1964,10,2,2,"Labour Party","the unemployed","Social group","Economic class",1,"Conservative Party",2,"Indirect","Negative/dissociate",1
220,1964,10,2,2,"Labour Party","teachers","Professional group",,1,"Conservative Party",2,"Direct","Negative/dissociate",1
221,1964,10,2,2,"Labour Party","Britain","General public",,2,"Conservative Party",1,"Direct","Negative/dissociate",1
222,1964,10,2,2,"Labour Party","general practitioners","Professional group",,1,"Conservative Party",2,"Direct","Negative/dissociate",1
223,1964,10,2,2,"Labour Party","our towns","Social group","Geography",1,"Conservative Party",2,"Indirect","Negative/dissociate",1
224,1964,10,2,2,"Labour Party","people","General public",,1,"Conservative Party",1,"Direct","Negative/dissociate",1
225,1964,10,2,2,"Labour Party","people","General public",,1,"Conservative Party",2,"Indirect","Negative/dissociate",1
226,1964,10,2,2,"Labour Party","The pensioner","Social group","Economic class",1,"Conservative Party",2,"Indirect","Negative/dissociate",1
227,1964,10,2,2,"Labour Party","Britain","General public",,1,"Conservative Party",1,"Direct","Negative/dissociate",1
228,1964,10,2,2,"Labour Party","firms","Social group","Economic class",1,"Conservative Party",2,"Direct","Negative/dissociate",1
229,1964,10,2,2,"Labour Party","Britain","General public",,1,"Conservative Party",1,"Indirect","Negative/dissociate",1
230,1964,10,2,2,"Labour Party","Britain","General public",,1,"Conservative Party",1,"Direct","Negative/dissociate",1
231,1964,10,2,2,"Labour Party","Britain","General public",,1,"Conservative Party",1,"Indirect","Negative/dissociate",1
232,1964,10,2,2,"Labour Party","Britain","General public",,1,"Conservative Party",1,"Direct","Negative/dissociate",1
233,1964,10,2,2,"Labour Party","the North","Social group","Geography",1,"Conservative Party",2,"Indirect","Negative/dissociate",1
234,1964,10,2,2,"Labour Party","the sick","Social group","Health",1,"Conservative Party",2,"Indirect","Negative/dissociate",1
235,1964,10,2,2,"Labour Party","London","Social group","Geography",1,"Conservative Party",2,"Indirect","Negative/dissociate",1
