sentence_id	span_nr	text	cat	pred_type	recall	recall_micro	thau_category	completely_wrong
conservatives-1964-142-3	0	people changing jobs	2	SG	1.0	1.0	Economic class	False
conservatives-1964-163-1	0	the many new towns	5		0.0	0.0	Geography	True
conservatives-1964-202-2	0	each nation	5	ISG	0.0	1.0	Geography	True
conservatives-1964-135-3	0	the older	1	SG	1.0	1.0	Age/generation	False
conservatives-1964-135-3	1	pensioners	2	SG	1.0	1.0	Economic class	False
conservatives-1964-123-2	0	industrial workers under 18	1	SG	1.0	1.0	Age/generation	False
conservatives-1964-145-1	0	one family in every four	9		0.2	0.2	Other	False
conservatives-1964-126-1	0	new teachers	10		0.5	0.5	none	False
conservatives-1964-126-3	0	teachers	10	SG	1.0	1.0	none	False
conservatives-1964-129-2	0	parents	9	SG	1.0	1.0	Other	False
conservatives-1964-129-2	1	teachers	10	SG	1.0	1.0	none	False
conservatives-1964-64-1	0	companies	2		0.0	0.0	Economic class	True
conservatives-1964-74-2	0	each region	5		0.0	0.0	Geography	True
conservatives-1964-75-2	0	each region	5		0.0	0.0	Geography	True
conservatives-1964-87-4	0	london	5		0.0	0.0	Geography	True
conservatives-1964-87-4	1	management	2		0.0	0.0	Economic class	True
conservatives-1964-167-2	0	london	5		0.0	0.0	Geography	True
conservatives-1964-90-2	0	passengers	9	SG	1.0	1.0	Other	False
conservatives-1964-78-1	0	our crowded country	10		0.0	0.0	none	True
conservatives-1964-136-1	0	those who work after retirement age	2	SG	1.0	1.0	Economic class	False
conservatives-1964-136-1	1	widows at work	2	SG	1.0	1.0	Economic class	False
conservatives-1964-179-2	0	the public	10		0.0	0.0	none	True
conservatives-1964-190-4	0	the public	10	ISG	0.0	1.0	none	True
conservatives-1964-190-4	1	the victims of violent crime	9	SG	1.0	1.0	Other	False
conservatives-1964-123-1	0	those leaving school to start work at once	2	SG	0.375	0.375	Economic class	False
conservatives-1964-11-4	0	this country	10		0.0	0.0	none	True
conservatives-1964-29-1	0	this country	10		0.0	0.0	none	True
conservatives-1964-108-3	0	this country	10		0.0	0.0	none	True
conservatives-1964-199-3	0	young people deprived of normal home life	1	SG	1.0	1.0	Age/generation	False
conservatives-1964-134-2	0	those receiving such benefits	2	SG	1.0	1.0	Economic class	False
conservatives-1964-122-3	0	100, 000 extra students	2		0.2	0.2	Economic class	False
conservatives-1964-154-1	0	families	9	SG	1.0	1.0	Other	False
conservatives-1964-150-1	0	the towns and cities where most remaining slums are concentrated	5		0.0	0.0	Geography	True
conservatives-1964-53-1	0	management	2	ORG	0.0	1.0	Economic class	True
conservatives-1964-53-1	1	unions	10	ORG	0.0	1.0	none	True
conservatives-1964-43-3	0	the individual	10	ISG	0.0	1.0	none	True
conservatives-1964-197-2	0	offenders	9	SG	1.0	1.0	Other	False
conservatives-1964-198-1	0	offenders	9	SG	1.0	1.0	Other	False
conservatives-1964-181-2	0	viewers and listeners	9	SG	0.6666666666666666	0.6666666666666666	Other	False
conservatives-1964-132-2	0	the elderly	1	SG	1.0	1.0	Age/generation	False
conservatives-1964-158-2	0	new and expanded towns	5		0.0	0.0	Geography	True
conservatives-1964-158-2	1	the elderly	1	SG	1.0	1.0	Age/generation	False
conservatives-1964-126-2	0	qualified married women	4	SG	1.0	1.0	Gender	False
conservatives-1964-203-2	0	northern ireland's	5		0.0	0.0	Geography	True
conservatives-1964-92-1	0	britain's	10		0.0	0.0	none	True
conservatives-1964-6-2	0	country's	10		0.0	0.0	none	True
conservatives-1964-108-1	0	ratepayer	9	SG	1.0	1.0	Other	False
conservatives-1964-116-1	0	ratepayers	9	SG	1.0	1.0	Other	False
conservatives-1964-81-1	0	unions	10	ORG	0.0	1.0	none	True
conservatives-1964-81-1	1	britain's	10		0.0	0.0	none	True
conservatives-1964-86-1	0	britain's	10		0.0	0.0	none	True
conservatives-1964-125-2	0	the older	1	ORG	0.0	1.0	Age/generation	True
conservatives-1964-102-2	0	private woodland owners	2	SG	1.0	1.0	Economic class	False
conservatives-1964-174-2	0	patients	6	SG	1.0	1.0	Health	False
conservatives-1964-9-1	0	the british people	10	SG	1.0	1.0	none	False
conservatives-1964-42-1	0	the british people	10	SG	1.0	1.0	none	False
conservatives-1964-143-1	0	war widows	4	SG	1.0	1.0	Gender	False
conservatives-1964-143-1	1	those disabled in the service of their country	6	SG	1.0	1.0	Health	False
conservatives-1964-179-3	0	contemporary artists	10	SG	1.0	1.0	none	False
conservatives-1964-174-1	0	the	10	SG	1.0	1.0	none	False
conservatives-1964-174-1	1	family	9	SG	1.0	1.0	Other	False
conservatives-1964-174-1	2	doctor	10	SG	1.0	1.0	none	False
conservatives-1964-197-3	0	the young	1	SG	1.0	1.0	Age/generation	False
conservatives-1964-186-1	0	the countryside	5		0.0	0.0	Geography	True
conservatives-1964-171-1	0	those not needing hospital care	6	SG	1.0	1.0	Health	False
conservatives-1964-170-3	0	every mother	4	SG	1.0	1.0	Gender	False
conservatives-1964-169-2	0	the healing professions	10	SG	1.0	1.0	none	False
conservatives-1964-82-1	0	unions	10	ORG	0.0	1.0	none	True
conservatives-1964-7-5	0	the young	1	SG	1.0	1.0	Age/generation	False
conservatives-1964-197-4	0	those who suffer from this form of hooliganism	9	SG	1.0	1.0	Other	False
conservatives-1964-38-1	0	some 19, 000 british men and women	4		0.5	0.5	Gender	False
conservatives-1964-100-2	0	growers	10	SG	1.0	1.0	none	False
conservatives-1964-77-2	0	cities and towns	5		0.0	0.0	Geography	True
conservatives-1964-98-5	0	british farmers	10	SG	1.0	1.0	none	False
conservatives-1964-135-1	0	those whose needs are greatest	2	SG	1.0	1.0	Economic class	False
conservatives-1964-184-2	0	the towns and cities	5		0.0	0.0	Geography	True
conservatives-1964-171-5	0	throughout the country	5		0.0	0.0	Geography	True
conservatives-1964-14-3	0	our country	10		0.0	0.0	none	True
conservatives-1964-142-1	0	family	9	SG	1.0	1.0	Other	False
labour-1964-75-2	0	girls	4	SG	1.0	1.0	Gender	False
labour-1964-130-1	0	girls	4	SG	1.0	1.0	Gender	False
labour-1964-89-1	0	wales	5		0.0	0.0	Geography	True
labour-1964-89-1	1	scotland	5		0.0	0.0	Geography	True
labour-1964-93-1	0	scotland	5		0.0	0.0	Geography	True
labour-1964-93-1	1	northern ireland	5		0.0	0.0	Geography	True
labour-1964-26-1	0	the north	5		0.0	0.0	Geography	True
labour-1964-26-1	1	scotland	5		0.0	0.0	Geography	True
labour-1964-26-1	2	northern ireland	5		0.0	0.0	Geography	True
labour-1964-26-1	3	london	5		0.0	0.0	Geography	True
labour-1964-89-2	0	northern ireland	5		0.0	0.0	Geography	True
labour-1964-89-2	1	the northern	5	PG	0.0	1.0	Geography	True
labour-1964-74-3	0	technicians	10	SG	1.0	1.0	none	False
labour-1964-74-3	1	designers	10	SG	1.0	1.0	none	False
labour-1964-74-3	2	production engineers	10	SG	1.0	1.0	none	False
labour-1964-103-1	0	the pensioner	2	SG	1.0	1.0	Economic class	False
labour-1964-103-1	1	the housewife	4	SG	1.0	1.0	Gender	False
labour-1964-104-2	0	the farmer	10		0.5	0.5	none	False
labour-1964-104-2	1	the housewife	4		0.5	0.5	Gender	False
labour-1964-116-1	0	taxpayers	9	SG	1.0	1.0	Other	False
labour-1964-116-2	0	taxpayers	9	SG	1.0	1.0	Other	False
labour-1964-110-1	0	lower paid workers	2	SG	1.0	1.0	Economic class	False
labour-1964-110-1	1	public employees	10	SG	1.0	1.0	none	False
labour-1964-194-1	0	british communities	5	SG	1.0	1.0	Geography	False
labour-1964-194-1	1	towns	5		0.0	0.0	Geography	True
labour-1964-157-5	0	the handicapped	6	SG	1.0	1.0	Health	False
labour-1964-157-5	1	the elderly	1	SG	1.0	1.0	Age/generation	False
labour-1964-29-1	0	our towns	5		0.0	0.0	Geography	True
labour-1964-34-1	0	our towns	5		0.0	0.0	Geography	True
labour-1964-95-2	0	our towns	5		0.0	0.0	Geography	True
labour-1964-132-1	0	ordinary families	9	SG	1.0	1.0	Other	False
labour-1964-33-1	0	the sick	6	SG	1.0	1.0	Health	False
labour-1964-33-1	1	the unemployed	2	SG	1.0	1.0	Economic class	False
labour-1964-35-1	0	teachers	10	SG	1.0	1.0	none	False
labour-1964-128-3	0	teachers	10	SG	1.0	1.0	none	False
labour-1964-129-1	0	teachers	10	SG	1.0	1.0	none	False
labour-1964-129-1	1	entrants to teaching	10		0.0	0.0	none	True
labour-1964-129-1	2	women	4	SG	1.0	1.0	Gender	False
labour-1964-157-4	0	general practitioners	10	SG	1.0	1.0	none	False
labour-1964-90-1	0	the regions	5		0.0	0.0	Geography	True
labour-1964-90-1	1	firms	2	ORG	0.0	1.0	Economic class	True
labour-1964-90-1	2	enterprises	2	ORG	0.0	1.0	Economic class	True
labour-1964-98-2	0	firms	2	ORG	0.0	1.0	Economic class	True
labour-1964-119-4	0	the children	10	SG	1.0	1.0	none	False
labour-1964-119-4	1	the family	9	SG	1.0	1.0	Other	False
labour-1964-119-4	2	the sick	6	SG	1.0	1.0	Health	False
labour-1964-119-4	3	the old people	1	SG	1.0	1.0	Age/generation	False
labour-1964-159-4	0	old people	1	SG	1.0	1.0	Age/generation	False
labour-1964-75-3	0	older people	1	SG	1.0	1.0	Age/generation	False
labour-1964-158-1	0	those least able to pay	2	SG	1.0	1.0	Economic class	False
labour-1964-157-7	0	the patient	6		0.5	0.5	Health	False
labour-1964-157-8	0	the patient	6	SG	1.0	1.0	Health	False
labour-1964-154-3	0	senior executives	10	SG	1.0	1.0	none	False
labour-1964-124-1	0	the large family	9	SG	1.0	1.0	Other	False
labour-1964-124-1	1	the child	10		0.5	0.5	none	False
labour-1964-151-2	0	the worker on average pay	2	SG	1.0	1.0	Economic class	False
labour-1964-245-1	0	every man	4	SG	1.0	1.0	Gender	False
labour-1964-245-1	1	woman	4	SG	1.0	1.0	Gender	False
labour-1964-245-1	2	go-ahead people	9	SG	1.0	1.0	Other	False
labour-1964-242-2	0	individuals	10	ISG	0.0	1.0	none	True
labour-1964-242-2	1	enterprises	2	ORG	0.0	1.0	Economic class	True
labour-1964-242-2	2	trade unions	10	ORG	0.0	1.0	none	True
labour-1964-148-1	0	sickness	8		0.0	0.0	Religion	True
labour-1964-151-1	0	sickness	8		0.0	0.0	Religion	True
labour-1964-165-1	0	the old	1	SG	1.0	1.0	Age/generation	False
labour-1964-165-1	1	sick	6	SG	1.0	1.0	Health	False
labour-1964-133-3	0	the owner	2	SG	1.0	1.0	Economic class	False
labour-1964-241-1	0	the people	10	SG	1.0	1.0	none	False
labour-1964-244-1	0	britain	10		0.0	0.0	none	True
labour-1964-161-2	0	doctors	10	SG	1.0	1.0	none	False
labour-1964-161-2	1	students	2	SG	1.0	1.0	Economic class	False
labour-1964-88-1	0	the different regions of the united kingdom	5		0.14285714285714285	0.14285714285714285	Geography	False
labour-1964-109-3	0	the unions	10	ORG	0.0	1.0	none	True
labour-1964-109-3	1	employers'organisations	10	ORG	0.0	1.0	none	True
labour-1964-161-3	0	nurses	10	SG	1.0	1.0	none	False
labour-1964-161-3	1	radiographers	10	SG	1.0	1.0	none	False
labour-1964-161-3	2	dieticians	10	SG	1.0	1.0	none	False
labour-1964-161-3	3	the unions	10	ORG	0.0	1.0	none	True
labour-1964-186-1	0	immigrants	7	SG	1.0	1.0	Nationality	False
labour-1964-186-2	0	immigrants	7	SG	1.0	1.0	Nationality	False
labour-1964-155-2	0	employers	2	SG	1.0	1.0	Economic class	False
labour-1964-143-1	0	householders with an original lease of more than 21 years	2	SG	0.1	0.1	Economic class	False
labour-1964-241-3	0	the whole people in the regions	5	SG	0.5	0.5	Geography	False
labour-1964-241-3	1	the community	9	ISG	0.0	1.0	Other	True
labour-1964-160-2	0	every women who wishes to, or needs to, have her baby in hospital	4	SG	1.0	1.0	Gender	False
labour-1964-240-1	0	the subject	10	ISG	0.0	1.0	none	True
labour-1964-146-1	0	trained men	9	SG	1.0	1.0	Other	False
labour-1964-91-2	0	our major cities	5		0.0	0.0	Geography	True
labour-1964-91-2	1	new town	5		0.0	0.0	Geography	True
labour-1964-91-2	2	wales	5		0.0	0.0	Geography	True
labour-1964-91-2	3	the countryside	10		0.0	0.0	none	True
labour-1964-151-3	0	the lower paid worker	2	SG	1.0	1.0	Economic class	False
labour-1964-107-2	0	the consumer	9	SG	1.0	1.0	Other	False
labour-1964-137-3	0	the family	9	SG	1.0	1.0	Other	False
labour-1964-236-1	0	the country	10		0.0	0.0	none	True
labour-1964-240-2	0	the citizen	10	SG	1.0	1.0	none	False
labour-1964-161-1	0	qualified medical staff	10	SG	1.0	1.0	none	False
labour-1964-163-1	0	the community	9		0.0	0.5	Other	True
labour-1964-150-1	0	those already retired	2	SG	1.0	1.0	Economic class	False
labour-1964-93-3	0	wales	5		0.0	0.0	Geography	True
labour-1964-62-2	0	farmers	10	SG	1.0	1.0	none	False
labour-1964-181-1	0	the old	1		0.0	0.0	Age/generation	True
labour-1964-47-2	0	women	4	SG	1.0	1.0	Gender	False
conservatives-1966-47-1	0	the car driver	9	SG	1.0	1.0	Other	False
conservatives-1966-47-1	1	the commuter	9	SG	1.0	1.0	Other	False
conservatives-1966-82-1	0	employers'associations	10	ORG	0.0	1.0	none	True
conservatives-1966-107-1	0	people who have put by some savings	2	SG	1.0	1.0	Economic class	False
conservatives-1966-103-1	0	everyone	10	ISG	0.0	1.0	none	True
conservatives-1966-104-1	0	everyone	10	ISG	0.0	1.0	none	True
conservatives-1966-183-1	0	north wales	5		0.0	0.0	Geography	True
conservatives-1966-183-1	1	queensferry	5		0.0	0.0	Geography	True
conservatives-1966-183-1	2	caernarvon	5		0.0	0.0	Geography	True
conservatives-1966-119-1	0	teachers	10	SG	1.0	1.0	none	False
conservatives-1966-119-1	1	part-time teachers	10	SG	1.0	1.0	none	False
conservatives-1966-119-1	2	women	4	SG	1.0	1.0	Gender	False
conservatives-1966-48-1	0	countryside	5		0.0	0.0	Geography	True
conservatives-1966-159-1	0	countryside	5		0.0	0.0	Geography	True
conservatives-1966-159-1	1	britain	10	SG	1.0	1.0	none	False
conservatives-1966-160-1	0	countryside	5	PI	0.0	1.0	Geography	True
conservatives-1966-113-1	0	widows who have been out of employment for many years	2	SG	1.0	1.0	Economic class	False
conservatives-1966-117-4	0	war pensioners	9	SG	1.0	1.0	Other	False
conservatives-1966-43-2	0	teachers	10	SG	1.0	1.0	none	False
conservatives-1966-26-1	0	individual men	4	SG	1.0	1.0	Gender	False
conservatives-1966-26-1	1	women	4	SG	1.0	1.0	Gender	False
conservatives-1966-35-1	0	employers'associations	10	ORG	0.0	1.0	none	True
conservatives-1966-105-1	0	the very old	1	SG	1.0	1.0	Age/generation	False
conservatives-1966-105-1	1	the severely disabled	6	SG	1.0	1.0	Health	False
conservatives-1966-105-1	2	others most in need	2	SG	1.0	1.0	Economic class	False
conservatives-1966-93-1	0	britain	10	SG	1.0	1.0	none	False
conservatives-1966-152-1	0	all immigrants living in	7	SG	1.0	1.0	Nationality	False
conservatives-1966-152-1	1	britain	10	SG	1.0	1.0	none	False
conservatives-1966-70-1	0	small firms	2	ORG	0.0	1.0	Economic class	True
conservatives-1966-116-1	0	family doctors	10	SG	1.0	1.0	none	False
conservatives-1966-148-1	0	offenders	9	SG	1.0	1.0	Other	False
conservatives-1966-192-1	0	northern ireland	5	PI	0.0	1.0	Geography	True
conservatives-1966-193-1	0	northern ireland	5		0.5	0.5	Geography	False
conservatives-1966-193-1	1	the country	10		0.0	0.0	none	True
conservatives-1966-193-1	2	the counties west of the bann	5	SG	1.0	1.0	Geography	False
conservatives-1966-123-2	0	the big cities	5		0.0	0.0	Geography	True
conservatives-1966-182-1	0	mid-wales	5		0.0	0.0	Geography	True
conservatives-1966-182-1	1	shrewsbury	5		0.0	0.0	Geography	True
conservatives-1966-182-1	2	cardigan bay	5		0.0	0.0	Geography	True
conservatives-1966-182-1	3	existing towns	5		0.0	0.0	Geography	True
conservatives-1966-78-2	0	scientists	10	SG	1.0	1.0	none	False
conservatives-1966-78-2	1	industrial consultants	10	SG	1.0	1.0	none	False
conservatives-1966-78-2	2	taxpayers	9	SG	1.0	1.0	Other	False
conservatives-1966-117-3	0	those who retired before 1956	2	SG	1.0	1.0	Economic class	False
conservatives-1966-130-1	0	home buyers	2	SG	1.0	1.0	Economic class	False
conservatives-1966-134-1	0	home buyers	2	SG	1.0	1.0	Economic class	False
conservatives-1966-155-2	0	new immigrants	7	SG	1.0	1.0	Nationality	False
conservatives-1966-155-2	1	dependants	9	SG	1.0	1.0	Other	False
conservatives-1966-136-1	0	those who really need them	2	SG	1.0	1.0	Economic class	False
conservatives-1966-184-1	0	south wales	5		0.0	0.0	Geography	True
conservatives-1966-157-1	0	those areas where immigrants are concentrated	5		0.16666666666666666	0.16666666666666666	Geography	False
conservatives-1966-196-1	0	ulster farmers	5	SG	1.0	1.0	Geography	False
conservatives-1966-36-1	0	women	4	SG	1.0	1.0	Gender	False
conservatives-1966-115-1	0	the elderly	1	SG	1.0	1.0	Age/generation	False
conservatives-1966-115-1	1	nursing mothers	4	SG	1.0	1.0	Gender	False
conservatives-1966-155-1	0	all immigrants	7	SG	1.0	1.0	Nationality	False
conservatives-1966-155-1	1	dependants	9	SG	1.0	1.0	Other	False
conservatives-1966-38-1	0	those most in need	2	SG	1.0	1.0	Economic class	False
conservatives-1966-41-1	0	those most in need	2	SG	1.0	1.0	Economic class	False
conservatives-1966-68-1	0	the public	10	ISG	0.0	1.0	none	True
conservatives-1966-82-2	0	the public	10	ISG	0.0	1.0	none	True
conservatives-1966-168-2	0	the public	10	ORG	0.0	1.0	none	True
conservatives-1966-162-1	0	regional recreation areas	5		0.0	0.0	Geography	True
conservatives-1966-189-2	0	cardiff	5	ORG	0.0	1.0	Geography	True
conservatives-1966-30-1	0	the english regions	5		0.0	0.0	Geography	True
conservatives-1966-30-1	1	scotland	5		0.0	0.0	Geography	True
conservatives-1966-161-1	0	visitors to the national forests	5	SG	0.2	0.2	Geography	False
conservatives-1966-135-1	0	the elderly	1	SG	1.0	1.0	Age/generation	False
conservatives-1966-172-1	0	the highlands	5		0.0	0.0	Geography	True
conservatives-1966-175-1	0	the highlands	5		0.0	0.0	Geography	True
conservatives-1966-175-1	1	people	10	SG	1.0	1.0	none	False
conservatives-1966-144-1	0	scotland	5	PI	0.0	1.0	Geography	True
conservatives-1966-150-1	0	those in prison	9	SG	1.0	1.0	Other	False
conservatives-1966-150-1	1	useful members of the community	9		0.2	0.6	Other	False
conservatives-1966-149-1	0	young people	1	SG	1.0	1.0	Age/generation	False
conservatives-1966-141-1	0	ground leaseholders	2	SG	1.0	1.0	Economic class	False
conservatives-1966-71-2	0	young people	1	SG	1.0	1.0	Age/generation	False
conservatives-1966-33-1	0	everyone	10	ISG	0.0	1.0	none	True
conservatives-1966-190-1	0	people	10	SG	1.0	1.0	none	False
conservatives-1966-156-1	0	immigrants already here	7	SG	1.0	1.0	Nationality	False
conservatives-1966-110-1	0	those needing help	2	SG	1.0	1.0	Economic class	False
conservatives-1966-19-1	0	those who really believe in this country	9	SG	1.0	1.0	Other	False
labour-1966-172-4	0	doctors	10	SG	1.0	1.0	none	False
labour-1966-85-3	0	farmers '	10	SG	0.5	0.5	none	False
labour-1966-19-1	0	the old	1	SG	1.0	1.0	Age/generation	False
labour-1966-296-1	0	all the people	10	SG	1.0	1.0	none	False
labour-1966-296-1	1	the workers by hand and by brain	2		0.14285714285714285	0.14285714285714285	Economic class	False
labour-1966-296-1	2	the old	1	SG	1.0	1.0	Age/generation	False
labour-1966-296-1	3	the sick	6	SG	1.0	1.0	Health	False
labour-1966-296-1	4	the children	10	SG	1.0	1.0	none	False
labour-1966-93-1	0	those on fixed incomes	2	SG	1.0	1.0	Economic class	False
labour-1966-204-1	0	hundreds of thousands of families	9		0.2	0.2	Other	False
labour-1966-101-1	0	skilled labour	2		0.0	0.0	Economic class	True
labour-1966-101-4	0	skilled labour	2		0.0	0.0	Economic class	True
labour-1966-124-2	0	new town	5		0.0	0.0	Geography	True
labour-1966-124-5	0	new towns	5		0.0	0.0	Geography	True
labour-1966-124-6	0	new towns	5	PI	0.0	1.0	Geography	True
labour-1966-62-2	0	london	5		0.0	0.0	Geography	True
labour-1966-62-2	1	birmingham	5		0.0	0.0	Geography	True
labour-1966-124-3	0	much bigger towns	5		0.0	0.0	Geography	True
labour-1966-124-3	1	london	5		0.0	0.0	Geography	True
labour-1966-124-3	2	birmingham	5		0.0	0.0	Geography	True
labour-1966-124-3	3	manchester	5		0.0	0.0	Geography	True
labour-1966-50-1	0	expanding firms	2	ORG	0.0	1.0	Economic class	True
labour-1966-92-1	0	the individual	10	ISG	0.0	1.0	none	True
labour-1966-92-1	1	the whole community	10	ISG	0.0	1.0	none	True
labour-1966-179-2	0	teachers	10	SG	1.0	1.0	none	False
labour-1966-180-1	0	teachers	10	SG	1.0	1.0	none	False
labour-1966-211-3	0	mortgagee	2		0.0	0.0	Economic class	True
labour-1966-212-1	0	mortgagee	2	SG	1.0	1.0	Economic class	False
labour-1966-230-1	0	the	10	SG	1.0	1.0	none	False
labour-1966-230-1	1	citizens	5	SG	1.0	1.0	Geography	False
labour-1966-204-6	0	anyone	10	ISG	0.0	1.0	none	True
labour-1966-165-4	0	widows	4	SG	1.0	1.0	Gender	False
labour-1966-172-5	0	medical students	2	SG	1.0	1.0	Economic class	False
labour-1966-215-3	0	the average citizen	10	SG	1.0	1.0	none	False
labour-1966-215-3	1	those best able to shoulder it	2	SG	0.8333333333333334	0.8333333333333334	Economic class	False
labour-1966-213-2	0	everyone who joins the home ownership plan	2	SG	1.0	1.0	Economic class	False
labour-1966-143-1	0	the whole community	10	ISG	0.0	1.0	none	True
labour-1966-228-1	0	the whole community	10	ISG	0.0	1.0	none	True
labour-1966-176-1	0	all children	10	SG	1.0	1.0	none	False
labour-1966-112-2	0	the community	10	ISG	0.0	1.0	none	True
labour-1966-123-6	0	the community	10	ISG	0.0	1.0	none	True
labour-1966-151-1	0	the community	10	ISG	0.0	1.0	none	True
labour-1966-151-1	1	management	2		0.0	0.0	Economic class	True
labour-1966-174-3	0	some 2, 000 women a year	4		0.14285714285714285	0.14285714285714285	Gender	False
labour-1966-135-1	0	road users	9	SG	1.0	1.0	Other	False
labour-1966-135-1	1	drivers	10	SG	1.0	1.0	none	False
labour-1966-124-4	0	citizens	5	SG	1.0	1.0	Geography	False
labour-1966-68-2	0	young people	1	SG	1.0	1.0	Age/generation	False
labour-1966-184-1	0	our young people	1		0.6666666666666666	0.6666666666666666	Age/generation	False
labour-1966-238-1	0	young people	1	SG	1.0	1.0	Age/generation	False
labour-1966-88-2	0	the producer	10		0.5	0.5	none	False
labour-1966-88-2	1	the consumer	9		0.5	0.5	Other	False
labour-1966-211-4	0	the lower paid	2	SG	1.0	1.0	Economic class	False
labour-1966-168-3	0	old people	1	SG	1.0	1.0	Age/generation	False
labour-1966-173-3	0	old people	1	SG	1.0	1.0	Age/generation	False
labour-1966-245-2	0	those areas confronted with a severe shortage	5		0.0	0.0	Geography	True
labour-1966-209-4	0	cities crippled with slums	5		0.0	0.0	Geography	True
labour-1966-172-1	0	the family	9		0.5	0.5	Other	False
labour-1966-63-1	0	the under-employed regions	5	SG	1.0	1.0	Geography	False
labour-1966-63-1	1	the congested south east	5		0.0	0.0	Geography	True
labour-1966-211-1	0	those who wish to buy their own homes	2	SG	1.0	1.0	Economic class	False
labour-1966-98-5	0	the unspoiled countryside	5		0.0	0.0	Geography	True
labour-1966-122-1	0	london	5		0.0	0.0	Geography	True
labour-1966-122-1	1	the other great cities	5		0.0	0.0	Geography	True
labour-1966-122-1	2	private car commuters	9	SG	1.0	1.0	Other	False
labour-1966-204-5	0	almost everyone	10	SG	1.0	1.0	none	False
labour-1966-204-5	1	the lodger	2		0.5	0.5	Economic class	False
labour-1966-204-5	2	the worker	2		0.5	0.5	Economic class	False
labour-1966-85-1	0	our farmers	10		0.5	0.5	none	False
labour-1966-122-4	0	our towns and cities	5		0.0	0.0	Geography	True
labour-1966-54-1	0	management	2	ORG	0.0	1.0	Economic class	True
labour-1966-55-2	0	management	2	SG	1.0	1.0	Economic class	False
labour-1966-140-1	0	millions of our people	10		0.0	0.5	none	True
labour-1966-248-2	0	adult offenders	9	SG	1.0	1.0	Other	False
labour-1966-264-1	0	our forces	10		0.0	0.5	none	True
labour-1966-197-1	0	millions of people	10		0.0	0.3333333333333333	none	True
labour-1966-117-1	0	building societies	10	ORG	0.0	1.0	none	True
labour-1966-117-1	1	builders	10	SG	1.0	1.0	none	False
labour-1966-118-2	0	building societies	10	ORG	0.0	1.0	none	True
labour-1966-118-2	1	builders	10	SG	1.0	1.0	none	False
