id,year,party,text,majortopic,majortopic_label,majortopic_recoded_label
34,1983,con,so we win back jobs.,5,Labour and Employment,Labour and Employment
35,1983,con,We have a duty to protect the most vulnerable members of our society,13,Social Welfare,Social Welfare
36,1983,con,many of whom contributed to the heritage we now enjoy.,0,Non-policy content,other
37,1983,con,We are proud of the way we have shielded the pensioner,13,Social Welfare,Social Welfare
38,1983,con,and the National Health Service from the recession.,3,Health,Health
39,1983,con,Only if we create wealth,1,Macroeconomics,Macroeconomics
40,1983,con,can we continue to do justice to the old and the sick and the disabled,13,Social Welfare,Social Welfare
41,1983,con,It is economic success,1,Macroeconomics,Macroeconomics
42,1983,con,which will provide the surest guarantee of help for those who need it most.,13,Social Welfare,Social Welfare
43,1983,con,Our history is the story of a free people,0,Non-policy content,other
44,1983,con,a great chain of people stretching back into the past and forward into the future.,0,Non-policy content,other
45,1983,con,All are linked by a common belief in freedom and in Britain's greatness,2,"Civil Rights, Minority Issues, Immigration and Civil Liberties","Civil Rights, Minority Issues, Immigration and Civil Liberties"
46,1983,con,All are aware of their own responsibility to contribute to both.,2,"Civil Rights, Minority Issues, Immigration and Civil Liberties","Civil Rights, Minority Issues, Immigration and Civil Liberties"
47,1983,con,"Our past is witness to their enduring courage, honesty and flair,",0,Non-policy content,other
48,1983,con,and to their ability to change and create.,0,Non-policy content,other
49,1983,con,Our future will be shaped by those same qualities.,0,Non-policy content,other
50,1983,con,The task we face is formidable.,0,Non-policy content,other
51,1983,con,I believe it is now right to ask for a new mandate to meet the challenge of our times.,20,Government Operations,other
52,1983,con,MARGARET THATCHER :THE ROAD TO RECOVERY,1,Macroeconomics,Macroeconomics
53,1983,con,Britain is once more a force to be reckoned with.,19,International Affairs and Foreign Aid,other
54,1983,con,Formidable difficulties remain to be overcome.,0,Non-policy content,other
55,1983,con,"But after four years of Conservative government, national recovery has begun.",1,Macroeconomics,Macroeconomics
56,1983,con,When we came to office in May 1979,20,Government Operations,other
57,1983,con,our country was suffering both from an economic crisis and a crisis of morale.,1,Macroeconomics,Macroeconomics
58,1983,con,"British industry was uncompetitive,",15,"Banking, Finance and Domestic Commerce",other
59,1983,con,"over-taxed,",1,Macroeconomics,Macroeconomics
60,1983,con,over-regulated and over-manned.,5,Labour and Employment,Labour and Employment
61,1983,con,The British economy was plagued by inflation.,1,Macroeconomics,Macroeconomics
62,1983,con,After only a brief artificial pause,1,Macroeconomics,Macroeconomics
63,1983,con,", it was back into double figures.",1,Macroeconomics,Macroeconomics
64,1983,con,This country was drifting further and further behind its neighbours.,18,Foreign Trade,other
65,1983,con,Defeatism was in the air.,0,Non-policy content,other
66,1983,con,We did not disguise the fact that putting Britain right would be an extremely difficult task.,0,Non-policy content,other
67,1983,con,The second sharp oil price increase,8,Energy,other
68,1983,con,and the deepest world recession since the 1 930s have made those difficulties worse.,1,Macroeconomics,Macroeconomics
69,1983,con,"At the same time, the Western world is passing through another transformation",17,"Space, Science, Technology and Communications",other
70,1983,con,from the age of the smokestack to the era of the microchip.,17,"Space, Science, Technology and Communications",other
71,1983,con,Traditional industries are being transformed by the new technologies.,17,"Space, Science, Technology and Communications",other
72,1983,con,These changes have led to a rapid rise in unemployment in almost every Western country.,1,Macroeconomics,Macroeconomics
73,1983,con,Our opponents claim that they could abolish unemployment,1,Macroeconomics,Macroeconomics
74,1983,con,by printing or borrowing thousands of millions of pounds.,1,Macroeconomics,Macroeconomics
75,1983,con,This is a cruel deceit.,0,Non-policy content,other
76,1983,con,Their plans would immediately unleash a far more savage economic crisis than their last;,1,Macroeconomics,Macroeconomics
77,1983,con,"a crisis which would, very soon, bring more unemployment in its wake.",1,Macroeconomics,Macroeconomics
78,1983,con,"The truth is that unemployment, in Britain as in other countries, can be checked",1,Macroeconomics,Macroeconomics
79,1983,con,and then reduced,5,Labour and Employment,Labour and Employment
80,1983,con,only by steadily and patiently rebuilding the economy,1,Macroeconomics,Macroeconomics
81,1983,con,so that it produces the goods and services which people want to buy,1,Macroeconomics,Macroeconomics
82,1983,con,at prices they can afford.,1,Macroeconomics,Macroeconomics
83,1983,con,What We Have Achieved,20,Government Operations,other
84,1983,con,This is the task to which we have steadfastly applied ourselves with gradually increasing success.,0,Non-policy content,other
85,1983,con,Prices are rising more slowly now than at any time for fifteen years,1,Macroeconomics,Macroeconomics
86,1983,con,Britain is now among the low-inflation nations of the Western world.,1,Macroeconomics,Macroeconomics
87,1983,con,Output is rising.,1,Macroeconomics,Macroeconomics
88,1983,con,We are creating the conditions in which trade and industry can prosper.,1,Macroeconomics,Macroeconomics
89,1983,con,"We have swept away controls on wages,",1,Macroeconomics,Macroeconomics
90,1983,con,"prices,",1,Macroeconomics,Macroeconomics
91,1983,con,"dividends,",15,"Banking, Finance and Domestic Commerce",other
92,1983,con,foreign exchange,18,Foreign Trade,other
93,1983,con,"hire purchase,",15,"Banking, Finance and Domestic Commerce",other
94,1983,con,and office and factory building.,15,"Banking, Finance and Domestic Commerce",other
95,1983,con,"We have returned to free enterprise many state firms,",1,Macroeconomics,Macroeconomics
96,1983,con,in order to provide better service to the customer,1,Macroeconomics,Macroeconomics
97,1983,con,and save taxpayers' money.,1,Macroeconomics,Macroeconomics
98,1983,con,We have cut income tax rates,1,Macroeconomics,Macroeconomics
99,1983,con,and raised allowances at all levels.,1,Macroeconomics,Macroeconomics
100,1983,con,We have more than protected pensions against rising prices.,13,Social Welfare,Social Welfare
101,1983,con,We have strengthened the National Health Service,3,Health,Health
102,1983,con,We have given council tenants the right to buy their own homes.,14,"Community Development, Planning and Housing Issues","Community Development, Planning and Housing Issues"
103,1983,con,We have strengthened the police and the armed forces of the Crown.,12,"Law, Crime and Family Issues","Law, Crime and Family Issues"
104,1983,con,We have done all this and more,0,Non-policy content,other
105,1983,con,and still kept our promise to bring public spending under control.,1,Macroeconomics,Macroeconomics
106,1983,con,We have paid off nearly half the overseas debts the Labour Party left behind.,1,Macroeconomics,Macroeconomics
107,1983,con,"Once the IMF's biggest borrower,",19,International Affairs and Foreign Aid,other
108,1983,con,we are now playing a leading part in strengthening international trade and finance,19,International Affairs and Foreign Aid,other
109,1983,con,to the benefit of the poorest countries on earth.,19,International Affairs and Foreign Aid,other
110,1983,con,And we have acted so that people might live in freedom and justice.,19,International Affairs and Foreign Aid,other
111,1983,con,"The bravery, skill and determination with which Britain's task force recaptured the Falklands reverberated around the world.",16,Defence,other
112,1983,con,Many small nations gave thanks for that stand;,16,Defence,other
113,1983,con,and our allies in the North Atlantic are heartened by what Britain achieved in the South Atlantic.,16,Defence,other
114,1983,con,"Over the past four years, this country has recaptured much of her old pride",20,Government Operations,other
115,1983,con,We now have five great tasks for the future. They are:,20,Government Operations,other
116,1983,con,"to create an economy which provides stable prices,",1,Macroeconomics,Macroeconomics
117,1983,con,lasting prosperity,1,Macroeconomics,Macroeconomics
118,1983,con,and employment for our people;,1,Macroeconomics,Macroeconomics
119,1983,con,to build a responsible society,12,"Law, Crime and Family Issues","Law, Crime and Family Issues"
120,1983,con,which protects the weak,12,"Law, Crime and Family Issues","Law, Crime and Family Issues"
121,1983,con,but also allows the family and the individual to flourish;,12,"Law, Crime and Family Issues","Law, Crime and Family Issues"
122,1983,con,to uphold Parliamentary democracy,20,Government Operations,other
123,1983,con,and strengthen the rule of law;,12,"Law, Crime and Family Issues","Law, Crime and Family Issues"
124,1983,con,to improve the quality of life in our cities and countryside;,13,Social Welfare,Social Welfare
125,1983,con,"to defend Britain's freedom,",16,Defence,other
126,1983,con,"to keep faith with our allies in Europe and in NATO,",16,Defence,other
127,1983,con,and to keep the peace with justice.,16,Defence,other
128,1983,con,"These tasks will require sustained determination,",0,Non-policy content,other
129,1983,con,imagination and effort from Government and people alike.,0,Non-policy content,other
130,1983,con,"JOBS,PRICES AND UNIONS",1,Macroeconomics,Macroeconomics
131,1983,con,During the years of recession,1,Macroeconomics,Macroeconomics
132,1983,con,"now coming to an end,",1,Macroeconomics,Macroeconomics
133,1983,con,even the most successful of our competitors have faced increasingly serious problems,1,Macroeconomics,Macroeconomics
134,1983,con,and mounting unemployment.,1,Macroeconomics,Macroeconomics
135,1983,con,Despite all these difficulties,0,Non-policy content,other
136,1983,con,the Conservative Government has been overcoming Britain's fundamental problems:,20,Government Operations,other
137,1983,con,restoring sound money,1,Macroeconomics,Macroeconomics
138,1983,con,"setting a better balance between trade unions and the rest of society,",5,Labour and Employment,Labour and Employment
139,1983,con,"bringing efficiency to the nationalised industries,",1,Macroeconomics,Macroeconomics
140,1983,con,and developing effective policies to mitigate the curse of unemployment.,1,Macroeconomics,Macroeconomics
141,1983,con,The foundations of recovery have been firmly laid.,1,Macroeconomics,Macroeconomics
142,1983,con,"In the next Parliament, we shall build on this progress.",20,Government Operations,other
143,1983,con,Success Against Inflation,1,Macroeconomics,Macroeconomics
144,1983,con,Steadier prices and honest money are essential conditions for recovery.,1,Macroeconomics,Macroeconomics
145,1983,con,"Under the last Labour government,",20,Government Operations,other
146,1983,con,prices doubled,1,Macroeconomics,Macroeconomics
147,1983,con,and inflation soared to an all-time peak -,1,Macroeconomics,Macroeconomics
148,1983,con,despite the existence of a battery of controls on prices,1,Macroeconomics,Macroeconomics
149,1983,con,", profits,",1,Macroeconomics,Macroeconomics
150,1983,con,dividends and pay.,1,Macroeconomics,Macroeconomics
151,1983,con,"Today, there are no such controls.",1,Macroeconomics,Macroeconomics
152,1983,con,Yet prices are rising more slowly than at any time since the 1960s.,1,Macroeconomics,Macroeconomics
153,1983,con,"During the last year, inflation has come down faster in Britain than in any other major economy.",1,Macroeconomics,Macroeconomics
154,1983,con,"With lower inflation, businessmen, families, savers and pensioners can now begin at last to plan and budget ahead with confidence.",1,Macroeconomics,Macroeconomics
155,1983,con,"In the next Parliament,",20,Government Operations,other
156,1983,con,we shall endeavour to bring inflation lower still.,1,Macroeconomics,Macroeconomics
157,1983,con,Our ultimate goal should be a society with stable prices.,1,Macroeconomics,Macroeconomics
158,1983,con,We shall maintain firm control of public spending and borrowing,1,Macroeconomics,Macroeconomics
159,1983,con,If Government borrows too much,1,Macroeconomics,Macroeconomics
160,1983,con,"interest rates rise,",1,Macroeconomics,Macroeconomics
161,1983,con,and so do mortgage payments.,15,"Banking, Finance and Domestic Commerce",other
162,1983,con,Less spending by Government,1,Macroeconomics,Macroeconomics
163,1983,con,leaves more room to reduce taxes on families and businesses.,1,Macroeconomics,Macroeconomics
164,1983,con,We shall continue to set out a responsible financial strategy,1,Macroeconomics,Macroeconomics
165,1983,con,which will gradually reduce the growth of money in circulation -,1,Macroeconomics,Macroeconomics
166,1983,con,and so go on bringing inflation down.,1,Macroeconomics,Macroeconomics
167,1983,con,Our opponents are once again proposing the same financial policies,1,Macroeconomics,Macroeconomics
168,1983,con,that led to such appalling inflation and chaos in the past.,1,Macroeconomics,Macroeconomics
169,1983,con,Labour's 'National Economic Assessment' is a stale repeat of the Social Contract,1,Macroeconomics,Macroeconomics
170,1983,con,which ended so disastrously in the Winter of Discontent.,1,Macroeconomics,Macroeconomics
171,1983,con,"Once again, the Labour Party is committed to carry out trade union leaders' instructions in exchange for mere expressions of goodwill.",20,Government Operations,other
172,1983,con,Commonsense in Pay Bargaining,1,Macroeconomics,Macroeconomics
173,1983,con,With lower inflation.,1,Macroeconomics,Macroeconomics
174,1983,con,we have seen a return to commonsense in pay bargaining.,1,Macroeconomics,Macroeconomics
175,1983,con,Uncertainty and anxiety about rising prices have contributed to the absurdly high pay claims that destroyed so many jobs.,1,Macroeconomics,Macroeconomics
176,1983,con,As inflation subsides,1,Macroeconomics,Macroeconomics
177,1983,con,"people in work can see the prospect of real, properly-earned improvements in their living standards",1,Macroeconomics,Macroeconomics
178,1983,con,which have gone up by more than 5 per cent on average over the last four years.,1,Macroeconomics,Macroeconomics
179,1983,con,"so long as sensible government policies are matched by sensible attitudes in industry and commerce,",1,Macroeconomics,Macroeconomics
180,1983,con,these living standards can continue to improve.,1,Macroeconomics,Macroeconomics
181,1983,con,The last four years have shown that a bureaucratic machine for controlling wages and prices is quite unnecessary.,1,Macroeconomics,Macroeconomics
182,1983,con,It simply stores up trouble and breeds inefficiency.,1,Macroeconomics,Macroeconomics
183,1983,con,But Government remains inescapably responsible for controlling its own costs.,1,Macroeconomics,Macroeconomics
184,1983,con,We are committed to fair and reasonable levels of pay for those who work in the public services.,20,Government Operations,other
185,1983,con,We shall therefore continue to seek sensible arrangements for determining pay in the Civil Service,20,Government Operations,other
186,1983,con,"and the National Health Service,",3,Health,Health
187,1983,con,following the Megaw Report and the resolution of the NHS pay dispute.,3,Health,Health
188,1983,con,It is equally our duty to the nation as a whole to prevent any abuse of monopoly power,0,Non-policy content,other
189,1983,con,"or exploitation of the sick,, the weak and the elderly.",3,Health,Health
190,1983,con,So we must continue to resist unreasonable pay claims in the public sector.,20,Government Operations,other
191,1983,con,Trade Union Reforms,5,Labour and Employment,Labour and Employment
192,1983,con,In the return to more sensible pay bargaining,5,Labour and Employment,Labour and Employment
193,1983,con,", the trade unions have an important part to play.",5,Labour and Employment,Labour and Employment
194,1983,con,"They can be powerful instruments for good or harm,",5,Labour and Employment,Labour and Employment
195,1983,con,to promote progress or hinder change,5,Labour and Employment,Labour and Employment
196,1983,con,to create new jobs,5,Labour and Employment,Labour and Employment
197,1983,con,or to destroy existing ones.,5,Labour and Employment,Labour and Employment
198,1983,con,All of us have a vital interest in ensuring that this power is used democratically and responsibly.,5,Labour and Employment,Labour and Employment
199,1983,con,"Both trade union members and the general public have welcomed the 1980 and 1982 Employment Acts,",5,Labour and Employment,Labour and Employment
200,1983,con,"which restrain secondary picketing,",5,Labour and Employment,Labour and Employment
201,1983,con,"encourage secret ballots,",5,Labour and Employment,Labour and Employment
202,1983,con,curtail abuse of the closed shop,5,Labour and Employment,Labour and Employment
203,1983,con,and restore rights of redress against trade unions responsible for committing unlawful acts.,5,Labour and Employment,Labour and Employment
204,1983,con,But some trade union leaders still abuse their power against the wishes of their members and the interests of society.,5,Labour and Employment,Labour and Employment
205,1983,con,"Our 1982 Green Paper, Democracy in Trade Unions, points the way to give union members control over their own unions.",5,Labour and Employment,Labour and Employment
206,1983,con,We shall given union members the right to:,5,Labour and Employment,Labour and Employment
207,1983,con,hold ballots for the election of governing bodies of trade unions;,5,Labour and Employment,Labour and Employment
208,1983,con,decide periodically whether their unions should have party political funds.,5,Labour and Employment,Labour and Employment
209,1983,con,We shall also curb the legal immunity of unions to call strikes,5,Labour and Employment,Labour and Employment
210,1983,con,without the prior approval of those concerned through a fair and secret ballot.,5,Labour and Employment,Labour and Employment
211,1983,con,Political Levy,5,Labour and Employment,Labour and Employment
212,1983,con,Consultations on the Green Paper have confirmed that there is widespread disquiet,5,Labour and Employment,Labour and Employment
213,1983,con,about how the right of individual trade union members not to pay the political levy operates in practice,5,Labour and Employment,Labour and Employment
214,1983,con,through the system of contracting-out.,5,Labour and Employment,Labour and Employment
215,1983,con,We intend to invite the TUC to discuss the steps,5,Labour and Employment,Labour and Employment
216,1983,con,which the trade unions themselves can take,5,Labour and Employment,Labour and Employment
217,1983,con,to ensure that individual members are freely and effectively able to decide for themselves,5,Labour and Employment,Labour and Employment
218,1983,con,whether or not to pay the political levy.,5,Labour and Employment,Labour and Employment
219,1983,con,"In the event that the trade unions are not willing to take such steps,",5,Labour and Employment,Labour and Employment
220,1983,con,the Government will be prepared to introduce measures to guarantee the free and effective right of choice.,5,Labour and Employment,Labour and Employment
221,1983,con,Essential Services,5,Labour and Employment,Labour and Employment
222,1983,con,The proposal to curb immunity in the absence of pre-strike ballots will reduce the risk of strikes in essential services.,5,Labour and Employment,Labour and Employment
223,1983,con,"In addition, we shall consult further about the need for industrial relations in specified essential services to be governed by adequate procedure agreements,",5,Labour and Employment,Labour and Employment
224,1983,con,breach of which would deprive industrial action of immunity.,5,Labour and Employment,Labour and Employment
225,1983,con,The nation is entitled to expect that the operation of essential services should not be disrupted.,5,Labour and Employment,Labour and Employment
226,1983,con,Involving Employees,5,Labour and Employment,Labour and Employment
227,1983,con,Good employers involve their employees by consulting them and keeping them fully informed.,5,Labour and Employment,Labour and Employment
228,1983,con,This is vital for efficiency as well as harmony in industry.,5,Labour and Employment,Labour and Employment
229,1983,con,We shall continue to encourage it.,5,Labour and Employment,Labour and Employment
230,1983,con,Many employers have already done much in recent years to establish a long-needed sense of common purpose with their workforces.,5,Labour and Employment,Labour and Employment
231,1983,con,We shall resist current attempts to impose rigid systems of employer/employee relations in Britain.,5,Labour and Employment,Labour and Employment
232,1983,con,We will continue to encourage workers to identify with the success of the firm for which they work,5,Labour and Employment,Labour and Employment
233,1983,con,by the promotion of share-ownership and profit-sharing.,5,Labour and Employment,Labour and Employment
234,1983,con,"In each of the last two years, largely as a result of tax changes we have introduced",1,Macroeconomics,Macroeconomics
235,1983,con,about a quarter of a million employees have acquired shares in the companies that employ them.,5,Labour and Employment,Labour and Employment
236,1983,con,When state industries are offered to the private sector,1,Macroeconomics,Macroeconomics
237,1983,con,"we have given their employees the chance to buy shares in them, and many have exercised this right.",5,Labour and Employment,Labour and Employment
238,1983,con,Unemployment: Coping with Change,1,Macroeconomics,Macroeconomics
239,1983,con,"During the last four years, unemployment in the industrialised countries has risen more sharply than at any time since the 1 930s.",1,Macroeconomics,Macroeconomics
240,1983,con,Britain has been no exception.,1,Macroeconomics,Macroeconomics
241,1983,con,We have long been one of the least efficient and most over-manned of industrialised nations.,18,Foreign Trade,other
242,1983,con,"We raised our own pay far more,",1,Macroeconomics,Macroeconomics
243,1983,con,"and our output far less, than most of our competitors.",18,Foreign Trade,other
244,1983,con,"Inevitably, this pushed prices up",1,Macroeconomics,Macroeconomics
245,1983,con,and drove countless customers to buy from other countries,18,Foreign Trade,other
246,1983,con,forcing thousands of employers out of business,15,"Banking, Finance and Domestic Commerce",other
247,1983,con,and hundreds of thousands of workers out of jobs.,1,Macroeconomics,Macroeconomics
248,1983,con,"At the same time, there has been a rapid shift of jobs from the old industries to the new,",5,Labour and Employment,Labour and Employment
249,1983,con,concentrated on services and the new technologies.,5,Labour and Employment,Labour and Employment
250,1983,con,"Tragically, trade unions have often obstructed these changes.",5,Labour and Employment,Labour and Employment
251,1983,con,All too often this has delayed and reduced the new and better-paid jobs,5,Labour and Employment,Labour and Employment
252,1983,con,which could replace those that have been lost.,5,Labour and Employment,Labour and Employment
253,1983,con,This Government has an impressive record in helping the unemployed,5,Labour and Employment,Labour and Employment
254,1983,con,who usually through no fault of their own are paying the price of these past errors.,5,Labour and Employment,Labour and Employment
255,1983,con,"We have committed over £2,000m. this year to training and special measures for the unemployed.",5,Labour and Employment,Labour and Employment
256,1983,con,"This is supported by substantial help from the European Community's Social Fund,",5,Labour and Employment,Labour and Employment
257,1983,con,amounting to over £250m. in 1982.,5,Labour and Employment,Labour and Employment
258,1983,con,"As long as unemployment remains high,",1,Macroeconomics,Macroeconomics
259,1983,con,"we shall maintain special measures of this kind,",5,Labour and Employment,Labour and Employment
260,1983,con,which bring effective help to many of those who have no job.,5,Labour and Employment,Labour and Employment
261,1983,con,"This year, some 1,100,000 people are being trained or helped by the most comprehensive programme of its kind in Europe.",5,Labour and Employment,Labour and Employment
262,1983,con,"For the first time the new Enterprise Allowance Scheme offers many thousands of unemployed people the support they need,",5,Labour and Employment,Labour and Employment
263,1983,con,"but previously could not get,",5,Labour and Employment,Labour and Employment
264,1983,con,while they start their own businesses.,15,"Banking, Finance and Domestic Commerce",other
265,1983,con,"We will maintain special help for the long-term unemployed through the Community Programme,",5,Labour and Employment,Labour and Employment
265,1983,con,"We will maintain special help for the long-term unemployed through the Community Programme,",5,Labour and Employment,Labour and Employment
266,1983,con,and for the older unemployed through early retirement schemes.,5,Labour and Employment,Labour and Employment
266,1983,con,and for the older unemployed through early retirement schemes.,5,Labour and Employment,Labour and Employment
267,1983,con,Removing the Barriers to Jobs,5,Labour and Employment,Labour and Employment
268,1983,con,"We shall go on reducing the barriers which discourage employers from recruiting more staff,",5,Labour and Employment,Labour and Employment
269,1983,con,even when they want to.,5,Labour and Employment,Labour and Employment
270,1983,con,And we shall help to make the job market more flexible and efficient,5,Labour and Employment,Labour and Employment
271,1983,con,"so that more people can work part-time if they wish,",5,Labour and Employment,Labour and Employment
272,1983,con,and find work more easily.,5,Labour and Employment,Labour and Employment
273,1983,con,That is why we have amended the Employment Protection Act and why we shall continue to:,5,Labour and Employment,Labour and Employment
274,1983,con,minimise the legal restrictions which discourage the creation of new jobs;,5,Labour and Employment,Labour and Employment
275,1983,con,"encourage moves towards greater flexibility in working practices such as Part-Time Job Release,",5,Labour and Employment,Labour and Employment
276,1983,con,which makes it financially possible for people nearing retirement age to go part-time;,5,Labour and Employment,Labour and Employment
276,1983,con,which makes it financially possible for people nearing retirement age to go part-time;,5,Labour and Employment,Labour and Employment
277,1983,con,and the Job-Splitting Scheme which helps employers to split a whole-time job into two part-time jobs;,5,Labour and Employment,Labour and Employment
278,1983,con,improve the efficiency of the employment services in identifying and filling job vacancies,5,Labour and Employment,Labour and Employment
279,1983,con,ensure that Wages Councils do not reduce job opportunities,5,Labour and Employment,Labour and Employment
280,1983,con,"by forcing workers to charge unrealistic pay rates,",5,Labour and Employment,Labour and Employment
281,1983,con,or employers to offer them.,5,Labour and Employment,Labour and Employment
282,1983,con,Training,5,Labour and Employment,Labour and Employment
283,1983,con,If we are to make the most of the employment opportunities that present themselves in an age of rapid change,5,Labour and Employment,Labour and Employment
284,1983,con,"and more varied patterns of work and occupation, up-to-date training is essential.",5,Labour and Employment,Labour and Employment
285,1983,con,"Training for work must start with better, more relevant education at school.",6,Education and Culture,Education and Culture
286,1983,con,For school leavers we have provided the most imaginative and far-reaching scheme in our history.,5,Labour and Employment,Labour and Employment
287,1983,con,he Youth Training Scheme offers every 16-year old a year of serious training for work.,5,Labour and Employment,Labour and Employment
288,1983,con,"It should help 350,000 youngsters by the autumn of this year.",5,Labour and Employment,Labour and Employment
289,1983,con,"From now on, no one leaving school at 16 need be unemployed in his first year out of school.",5,Labour and Employment,Labour and Employment
290,1983,con,This is only a part of our wider strategy,0,Non-policy content,other
291,1983,con,to ensure effective training for the skills and jobs of tomorrow -,5,Labour and Employment,Labour and Employment
292,1983,con,on a scale and of a quality to match the world's best.,18,Foreign Trade,other
293,1983,con,At its heart is our reform of industrial training and the apprenticeship system.,5,Labour and Employment,Labour and Employment
294,1983,con,We are improving the scope and quality of our training for the employed and unemployed alike,5,Labour and Employment,Labour and Employment
295,1983,con,tackling problems which the Labour Party has never had the courage to face.,5,Labour and Employment,Labour and Employment
296,1983,con,"We shall continue to provide for, and improve, the special employment and training needs of the disabled,",5,Labour and Employment,Labour and Employment
297,1983,con,and to reform our training agencies,5,Labour and Employment,Labour and Employment
298,1983,con,to meet more effectively the needs of industry and workers alike.,5,Labour and Employment,Labour and Employment
299,1983,con,The Nationalised Industries,1,Macroeconomics,Macroeconomics
300,1983,con,Reform of the nationalised industries is central to economic recovery.,1,Macroeconomics,Macroeconomics
301,1983,con,Most people who work in these industries work hard and have a sense of public service.,1,Macroeconomics,Macroeconomics
302,1983,con,"Since 1979 we have gone to great lengths to improve the performance of the state sector,",1,Macroeconomics,Macroeconomics
303,1983,con,to appoint top-class managers and,1,Macroeconomics,Macroeconomics
304,1983,con,work closely with them to tackle each industry's problems.,1,Macroeconomics,Macroeconomics
305,1983,con,"But for all this, few people can now believe that state ownership means better service to the customer",1,Macroeconomics,Macroeconomics
306,1983,con,The old illusions have melted away.,0,Non-policy content,other
307,1983,con,Nationalisation does not improve job satisfaction,1,Macroeconomics,Macroeconomics
308,1983,con,job security,5,Labour and Employment,Labour and Employment
309,1983,con,or labour relations -,5,Labour and Employment,Labour and Employment
310,1983,con,almost all the serious strikes in recent years have been in state industries and services.,5,Labour and Employment,Labour and Employment
311,1983,con,We have also seen how the burden of financing the state industries,1,Macroeconomics,Macroeconomics
312,1983,con,has kept taxes,1,Macroeconomics,Macroeconomics
313,1983,con,and government borrowing higher than they need have been,1,Macroeconomics,Macroeconomics
314,1983,con,A company which has to satisfy its customers,15,"Banking, Finance and Domestic Commerce",other
315,1983,con,and compete to survive,15,"Banking, Finance and Domestic Commerce",other
316,1983,con,is more likely to be efficient,15,"Banking, Finance and Domestic Commerce",other
317,1983,con,"alert to innovation,",15,"Banking, Finance and Domestic Commerce",other
318,1983,con,and genuinely accountable to the public.,15,"Banking, Finance and Domestic Commerce",other
319,1983,con,That is why we have transferred to private ownership,1,Macroeconomics,Macroeconomics
320,1983,con,in whole or in part,1,Macroeconomics,Macroeconomics
321,1983,con,Cable and Wireless,1,Macroeconomics,Macroeconomics
322,1983,con,"Associated British Ports,",1,Macroeconomics,Macroeconomics
323,1983,con,British Aerospace,1,Macroeconomics,Macroeconomics
324,1983,con,", Britoil,",1,Macroeconomics,Macroeconomics
325,1983,con,British Rail Hotels,1,Macroeconomics,Macroeconomics
326,1983,con,Amersham International,1,Macroeconomics,Macroeconomics
327,1983,con,and the National Freight Corporation,1,Macroeconomics,Macroeconomics
328,1983,con,Many of their shares have been bought by their own employees and managers,15,"Banking, Finance and Domestic Commerce",other
329,1983,con,", which is the truest public ownership of all.",1,Macroeconomics,Macroeconomics
330,1983,con,We shall continue our programme to expose state-owned firms to real competition.,15,"Banking, Finance and Domestic Commerce",other
